ueId,x_m,y_m,servingSector,servingSite,bestRSRP_dBm,bestSINR_dB,isAttached
198,98.5346942496533,-377.177555124036,2,1,-82.6409175746622,15.6759333698687,1
199,209.879334627678,-1064.11907719697,14,5,-90.0413110454068,12.4673351968641,1
200,-1084.82613674083,-260.276012183443,18,6,-97.9317499944183,5.34454450424637,1
201,745.400865251603,170.545415077284,8,3,-79.5623712613058,17.7180237125588,1
202,-323.043508198553,478.4124368558,6,2,-93.293723344287,-1.50559314922568,1
203,-861.713990785811,759.002658180217,19,7,-103.648008500026,-2.1433450129618,1
204,51.3952773577462,-757.141824130704,15,5,-84.443637569868,3.9941199375219,1
205,623.847111984348,-839.629979319206,14,5,-98.4021857845769,2.74727210323456,1
206,283.950737157287,344.496021835723,5,2,-97.8026918968926,0.228198018904929,1
207,-958.096159970708,521.365801340323,21,7,-82.709923842209,13.7879426435495,1
208,72.4480126530214,1101.46674956357,4,2,-90.1265229751729,16.8140334139444,1
209,93.8915132256473,-1131.30417166661,14,5,-93.5036781541276,5.89707405578143,1
210,317.545534572954,104.276165111482,0,0,-96.5597111687046,-5.26697779267574,0
211,522.406642561783,527.892586245802,9,3,-81.4257261436744,4.36774556302921,1
212,37.6635852794811,540.584633491025,5,2,-96.4021638039961,5.71067263269466,1
213,-409.076778995486,761.884733344388,6,2,-90.3554995445925,10.9917042502055,1
214,682.057230591897,-405.399610134147,12,4,-75.1604024609443,4.39711894824349,1
215,-529.515007189426,794.955661390646,19,7,-93.7400196846246,1.12590075386244,1
216,-141.012637169863,-1060.2396868159,14,5,-92.2305127417216,12.1545072348644,1
217,776.315676652988,-120.399701332325,10,4,-80.3378364842976,15.7007380224045,1
218,452.818006548201,362.543827230373,9,3,-83.5699783987539,11.0648580487867,1
219,-210.373329399799,66.6685847808205,3,1,-84.3463525431001,15.0956971397784,1
220,-754.886153960296,584.779909224103,19,7,-86.8370831125974,4.65364026012046,1
221,113.743132964063,-638.582206732377,13,5,-76.8390252911967,19.7196378793001,1
222,370.152063506213,938.77978016851,4,2,-95.1828810981046,5.30100800686476,1
223,-508.484744396031,-709.004525505396,17,6,-88.2892602186246,7.12877512876606,1
224,549.68462293776,-411.849652606165,12,4,-65.8935160911019,27.6225907555256,1
225,125.590475382567,-802.674728107604,14,5,-89.3924312083687,-1.58980082699756,1
226,258.141959639981,731.509203979073,5,2,-85.140666162406,9.37756932195456,1
227,-185.772098194604,400.748349265179,9,3,-89.8234954275195,2.68930972553992,1
228,-582.892783315357,-4.55594346735006,16,6,-92.9683966095668,0.502477543539693,1
229,-332.789533079834,139.796878745817,3,1,-89.8886927948656,4.53723289250647,1
230,595.779230664976,553.499981468247,9,3,-88.0537554517043,2.35386315770537,1
231,-1061.19204330134,379.582981776198,21,7,-80.2701759485894,23.4973253363339,1
232,821.327236204579,-758.676545206457,11,4,-96.5553811011195,11.6056078907404,1
233,470.571856064795,455.089049149365,9,3,-77.1668097743884,21.7829861619928,1
234,-59.6739512946883,-1080.22925073174,14,5,-91.0333447645709,10.0352326373357,1
235,-19.3723592095175,-611.867831436535,13,5,-92.2793774442491,-0.546630546810586,1
236,-61.2961272395953,-94.3796757270377,2,1,-80.4851930083001,6.17543744749628,1
237,-152.842381278438,573.617955551596,5,2,-95.7292016654538,-0.502736159428799,1
238,-234.514963781958,612.851118477492,6,2,-85.1692563627,10.5692938689421,1
239,267.68324007567,-188.134596020607,2,1,-89.7739435712257,4.0693356941615,1
240,312.147393795067,-389.025031832743,12,4,-93.8651077857153,1.67588663412438,1
241,-1050.6205688214,-325.636237355181,18,6,-88.4919309106336,20.1423768975468,1
242,7.24663917034059,926.780466396168,4,2,-76.2014402792249,15.6838015425683,1
243,823.705437869723,198.660966758848,8,3,-87.7848757995071,3.03660545755126,1
244,366.677510035317,-155.000404690133,2,1,-87.1398125009698,9.61638588199002,1
245,-778.823723016079,568.791511857615,21,7,-82.6819306533701,0.353755117112353,1
246,329.073988546145,942.920066557529,4,2,-81.1699987862683,22.0828543629232,1
247,198.193060693878,-197.660191748437,2,1,-80.227668635359,20.3925410112357,1
248,1017.19600919814,-563.525583908353,11,4,-89.0352105965363,18.8252461804501,1
249,174.390637690757,233.191106239672,1,1,-78.8403451412827,13.8887164247945,1
250,-258.394571901416,1041.24659004148,6,2,-91.2864296354496,9.83679247254424,1
251,331.081761881907,-730.598420714047,12,4,-99.3732857803625,0.270967445005862,1
252,-96.4608724973873,310.499313737608,3,1,-96.4702063375953,-2.77793395393837,1
253,105.402154777935,332.198853299095,5,2,-94.0776546028776,0.956262866935828,1
254,1020.04860055814,588.626856058636,7,3,-91.8527843523973,14.3953900867623,1
255,-263.171248554482,-930.317632738695,15,5,-83.9939388509246,12.6970485566573,1
256,1065.62693076934,544.973288508383,7,3,-84.8392879867404,22.0966206533388,1
257,-702.905013189033,-808.822787395795,17,6,-96.0025038080326,5.43067288241591,1
258,-995.033791268354,-662.721652788857,18,6,-95.4040987483171,10.9166202581996,1
