oracle_group_id,scenario_name,realization_id,source_sector_id,target_sector_id,module_name,selected_action_id_raw,selected_action_id_safe,raw_action_type,safe_action_type,raw_predicted_reward,safe_predicted_reward,raw_true_reward,safe_true_reward,raw_selected_safety_valid,safe_selected_safety_valid,safety_filter_changed_action,fallback_used,noop_selected,selection_reason,delta_prs_dB,delta_tilt_deg,delta_cio_dB,delta_hom_dB,delta_ttt_ms,es_action,oracle_action_id,oracle_reward,raw_regret,safety_enforced_regret,raw_top1_oracle_match,safe_top1_oracle_match,safe_top2_oracle_match
180,handover_stress,4,2,0,LB/MLB,10455,10455,no_op,no_op,7.60948191742348e-05,7.60948191742348e-05,0,0,1,1,0,0,1,safe_best_predicted,0,0,0,0,0,,10455,0,0,0,1,1,1
181,handover_stress,4,16,20,LB/MLB,10471,10471,cio_bias_to_neighbor,cio_bias_to_neighbor,0.0665464855093544,0.0665464855093544,0.0697161126571549,0.0697161126571549,1,1,0,0,0,safe_best_predicted,0,0,3,0,0,,10471,0.0697161126571549,0,0,1,1,1
217,handover_stress,5,3,16,LB/MLB,10939,10939,cio_bias_to_neighbor,cio_bias_to_neighbor,0.108468570694168,0.108468570694168,0.111482705411398,0.111482705411398,1,1,0,0,0,safe_best_predicted,0,0,3,0,0,,10939,0.111482705411398,0,0,1,1,1
218,handover_stress,5,4,5,LB/MLB,10952,10952,cio_bias_to_neighbor,cio_bias_to_neighbor,-0.0348517342895966,-0.0348517342895966,-0.0310552605818644,-0.0310552605818644,1,1,0,0,0,safe_best_predicted,0,0,3,0,0,,10952,-0.0310552605818644,0,0,1,1,1
219,handover_stress,5,20,0,LB/MLB,10962,10962,no_op,no_op,0.000934238454332408,0.000934238454332408,0,0,1,1,0,0,1,safe_best_predicted,0,0,0,0,0,,10962,0,0,0,1,1,1
237,outage_sector,5,1,5,LB/MLB,11199,11199,cio_bias_to_neighbor,cio_bias_to_neighbor,0.260529141023396,0.260529141023396,0.26125,0.26125,1,1,0,0,0,safe_best_predicted,0,0,3,0,0,,11199,0.26125,0,0,1,1,1
256,degraded_sector,6,2,12,LB/MLB,11446,11446,cio_bias_to_neighbor,cio_bias_to_neighbor,-0.0329060295520869,-0.0329060295520869,-0.0300447383259831,-0.0300447383259831,1,1,0,0,0,safe_best_predicted,0,0,3,0,0,,11446,-0.0300447383259831,0,0,1,1,1
257,degraded_sector,6,16,0,LB/MLB,11456,11456,no_op,no_op,-0.00226968569545328,-0.00226968569545328,0,0,1,1,0,0,1,safe_best_predicted,0,0,0,0,0,,11456,0,0,0,1,1,1
258,degraded_sector,6,20,0,LB/MLB,11469,11469,no_op,no_op,-0.00100350013783699,-0.00100350013783699,0,0,1,1,0,0,1,safe_best_predicted,0,0,0,0,0,,11469,0,0,0,1,1,1
278,outage_sector,6,9,5,LB/MLB,11740,11740,cio_bias_to_neighbor,cio_bias_to_neighbor,-0.0238976073517868,-0.0238976073517868,-0.0229697407911832,-0.0229697407911832,1,1,0,0,0,safe_best_predicted,0,0,3,0,0,,11732,-0.0229697407911832,0,0,0,0,0
279,outage_sector,6,18,0,LB/MLB,11742,11742,no_op,no_op,0.000800607972688259,0.000800607972688259,0,0,1,1,0,0,1,safe_best_predicted,0,0,0,0,0,,11742,0,0,0,1,1,1
338,mixed_conflict,8,1,0,LB/MLB,12511,12509,cio_bias_to_neighbor,no_op,-0.133796947453386,-0.190747564872329,-0.1338,0,0,0,1,1,1,no_safe_action_fallback_noop,0,0,0,0,0,,12509,0,0.1338,0,0,1,1
339,mixed_conflict,8,2,0,LB/MLB,12522,12522,no_op,no_op,-0.0829446688053345,-0.0829446688053345,0,0,0,0,0,1,1,no_safe_action_fallback_noop,0,0,0,0,0,,12522,0,0,0,1,1,1
340,mixed_conflict,8,3,16,LB/MLB,12535,12537,no_op,cio_bias_to_neighbor,-0.0843229883400741,-0.12707163149806,0,-0.1275,0,1,1,0,0,safe_best_predicted,0,0,-3,0,0,,12537,-0.1275,-0.1275,0,0,1,1
341,mixed_conflict,8,4,0,LB/MLB,12548,12548,no_op,no_op,0.000916540394273868,0.000916540394273868,0,0,1,1,0,0,1,safe_best_predicted,0,0,0,0,0,,12548,0,0,0,1,1,1
342,mixed_conflict,8,5,4,LB/MLB,12561,12571,no_op,cio_bias_to_neighbor,-0.0885291372077974,-0.127333731128709,0,-0.127500000000001,0,1,1,0,0,safe_best_predicted,0,0,-3,0,0,,12571,-0.127500000000001,-0.127500000000001,0,0,1,1
343,mixed_conflict,8,6,16,LB/MLB,12574,12580,no_op,cio_bias_to_neighbor,-0.0876602655477238,-0.127744189123056,0,-0.1275,0,1,1,0,0,safe_best_predicted,0,0,-3,0,0,,12580,-0.1275,-0.1275,0,0,1,1
344,mixed_conflict,8,7,8,LB/MLB,12590,12590,cio_bias_to_neighbor,cio_bias_to_neighbor,0.081441006424472,0.081441006424472,0.0549706298324548,0.0549706298324548,1,1,0,0,0,safe_best_predicted,0,0,3,0,0,,12590,0.0549706298324548,0,0,1,1,1
345,mixed_conflict,8,9,0,LB/MLB,12600,12600,no_op,no_op,-0.0869497109117206,-0.0869497109117206,0,0,0,0,0,1,1,no_safe_action_fallback_noop,0,0,0,0,0,,12600,0,0,0,1,1,1
