row_id,realization_id,scenario_name,site_id,sector_id,impaired_sector_id,attached_ue_count,active_ue_count,offered_traffic_Mbps,served_traffic_Mbps,unserved_traffic_Mbps,sector_load_ratio,mean_RSRP_dBm,median_RSRP_dBm,mean_SINR_dB,median_SINR_dB,mean_UE_throughput_Mbps,median_UE_throughput_Mbps,qos_satisfaction_ratio,boundary_ue_ratio,handover_risk_score,attach_rate_sector,cod_label
154,16004,degraded_sector,2,4,4,14,0,0,0,0,0,-95.8666632272557,-96.3339530836838,6.47266648590515,5.46966375184009,0,0,1,0,0,0.7,degraded
155,16005,degraded_sector,2,5,5,4,0,0,0,0,0,-91.3111031539511,-91.9681635119023,6.03500231037449,4.14835434847001,0,0,1,0,0,0.8,degraded
156,16006,degraded_sector,2,6,6,10,3,14.2532891854684,14.2532891854684,0,0.423059133374079,-92.9120037274687,-92.7323539545316,5.89335855794763,7.04722358197606,4.75109639515614,4.39757982345383,1,0.2,0.2,1,degraded
157,16007,degraded_sector,3,7,7,17,1,1.21418784946151,1.21418784946151,0,0.0302075862405531,-94.5984401274226,-93.6523268685173,7.39229641918116,7.20098600518344,1.21418784946151,1.21418784946151,1,0.117647058823529,0.117647058823529,1,degraded
158,16008,degraded_sector,3,8,8,8,2,7.64956301278943,7.64956301278943,0,0.229446762688606,-93.3111138709572,-95.1010914503061,5.32675508213816,5.19030474473402,3.82478150639471,3.82478150639471,1,0.375,0.375,0.888888888888889,degraded
159,16009,degraded_sector,3,9,9,9,1,3.45160799201728,3.45160799201728,0,0.103955081407996,-90.6736425410917,-90.1594565096177,5.84465863687563,6.33406381134101,3.45160799201728,3.45160799201728,1,0.111111111111111,0.111111111111111,1,degraded
160,16010,degraded_sector,4,10,10,10,0,0,0,0,0,-94.2712421699851,-95.9908578912502,4.40290605049482,2.92348608323467,0,0,1,0.4,0.4,1,degraded
161,16011,degraded_sector,4,11,11,13,0,0,0,0,0,-94.1040035142953,-93.7440294245524,6.82985167715674,6.05328783334597,0,0,1,0.230769230769231,0.230769230769231,1,degraded
162,16012,degraded_sector,4,12,12,9,2,4.15880192457499,4.15880192457499,0,0.110566518425272,-89.514327394223,-89.0641035711373,6.5866920578199,4.85760740624094,2.07940096228749,2.07940096228749,1,0.222222222222222,0.222222222222222,0.9,degraded
163,16013,degraded_sector,5,13,13,8,2,11.1299492501711,11.1299492501711,0,0.382751735073723,-87.8677781120195,-88.5233727620232,4.53871820812231,4.95526527042003,5.56497462508556,5.56497462508556,1,0.25,0.25,0.888888888888889,degraded
164,16014,degraded_sector,5,14,14,19,5,24.8556092008011,24.8556092008011,0,0.728431199756583,-96.6175673820247,-96.9174516135374,5.91963298704903,6.75070496916859,4.97112184016022,4.91915398708691,1,0.210526315789474,0.210526315789474,0.95,degraded
165,16015,degraded_sector,5,15,15,16,2,10.6601870093813,10.6601870093813,0,0.361203013051766,-94.1373163759254,-94.3374750817372,4.70468099381328,4.40731094368506,5.33009350469066,5.33009350469066,1,0.3125,0.3125,0.941176470588235,degraded
166,16016,degraded_sector,6,16,16,11,0,0,0,0,0,-89.0407441270784,-91.0866342008532,9.24459274676727,11.4337016752793,0,0,1,0.0909090909090909,0.0909090909090909,0.916666666666667,degraded
167,16017,degraded_sector,6,17,17,11,2,2.40604031343655,2.40604031343655,0,0.083500776014771,-93.8351523199259,-93.8806524701477,4.24570934539113,2.9094095756962,1.20302015671827,1.20302015671827,1,0.272727272727273,0.272727272727273,1,degraded
168,16018,degraded_sector,6,18,18,18,1,5.32571084404846,5.32571084404846,0,0.130798000708012,-91.8451321844638,-94.7712968288635,8.3220840310323,6.09630454063161,5.32571084404846,5.32571084404846,1,0.0555555555555556,0.0555555555555556,1,degraded
169,16019,degraded_sector,7,19,19,10,0,0,0,0,0,-92.3026908587051,-92.4532403308909,5.08733195617206,4.2319825518845,0,0,1,0.2,0.2,1,degraded
