scenario_name,realization_id,coordinator_group_id,module_name,ai_action_id,oracle_action_id,oracle_kpi_comparison_status,oracle_implementable_flag,baseline_qos,ai_qos,oracle_qos,ai_delta_qos,oracle_delta_qos,qos_gap_to_oracle,baseline_attach,ai_attach,oracle_attach,attach_gap_to_oracle,baseline_sinr,ai_sinr,oracle_sinr,sinr_gap_to_oracle,baseline_load,ai_load,oracle_load,load_gap_to_oracle,reward_regret_if_available,physical_kpi_gap_note,ai_delta_attach,ai_delta_sinr,ai_delta_load
mixed_conflict,2,18,LB/MLB,9438,9438,comparable_oracle_action,1,0.326666666666667,0.313333333333333,0.313333333333333,-0.0133333333333333,-0.0133333333333336,3.33066907387547e-16,0.984,0.972,0.976,0.004,8.09582066192095,8.18998317279019,8.16905953102053,-0.0209236417696577,1.28239274389068,1.25114546230004,1.26941188534355,0.0182664230435083,NaN,,-0.012,0.094162510869241,-0.0312472815906355
mixed_conflict,2,18,LB/MLB,9529,9529,comparable_oracle_action,1,0.326666666666667,0.313333333333333,0.326666666666667,-0.0133333333333333,-3.33066907387547e-16,0.0133333333333336,0.984,0.972,0.982,0.01,8.09582066192095,8.18998317279019,8.1136483537505,-0.0763348190396869,1.28239274389068,1.25114546230004,1.27827507618482,0.0271296138847799,NaN,,-0.012,0.094162510869241,-0.0312472815906355
mixed_conflict,2,18,LB/MLB,9568,9568,comparable_oracle_action,1,0.326666666666667,0.313333333333333,0.326666666666667,-0.0133333333333333,-3.33066907387547e-16,0.0133333333333336,0.984,0.972,0.984,0.012,8.09582066192095,8.18998317279019,8.09582066192095,-0.0941625108692392,1.28239274389068,1.25114546230004,1.28239274389068,0.0312472815906375,NaN,,-0.012,0.094162510869241,-0.0312472815906355
mixed_conflict,2,18,LB/MLB,9582,9582,comparable_oracle_action,1,0.326666666666667,0.313333333333333,0.326666666666667,-0.0133333333333333,-3.33066907387547e-16,0.0133333333333336,0.984,0.972,0.982,0.01,8.09582066192095,8.18998317279019,8.09840521482023,-0.091577957969962,1.28239274389068,1.25114546230004,1.26824398855303,0.0170985262529888,NaN,,-0.012,0.094162510869241,-0.0312472815906355
degraded_sector,3,2,LB/MLB,9913,9913,comparable_oracle_action,1,1,0.946666666666667,0.946666666666667,-0.0533333333333333,-0.0533333333333333,-3.33066907387547e-16,0.976,0.946,0.946,0,9.00624397138462,9.2918356357073,9.2918356357073,1.77635683940025e-15,0.379172430971411,0.340153490459581,0.340153490459581,-3.33066907387547e-16,NaN,,-0.03,0.285591664322684,-0.0390189405118301
mixed_conflict,3,19,LB/MLB,10028,10028,comparable_oracle_action,1,0.366666666666667,0.393333333333333,0.353333333333333,0.0266666666666667,-0.0133333333333336,-0.0399999999999996,0.964,0.954,0.964,0.01,8.88090503922193,8.96163280230473,8.87352811400389,-0.0881046883008363,1.21597362278,1.2086355108092,1.21897471996182,0.0103392091526242,NaN,,-0.01,0.0807277630827947,-0.00733811197080603
mixed_conflict,3,19,LB/MLB,10045,10041,comparable_oracle_action,1,0.366666666666667,0.393333333333333,0.36,0.0266666666666667,-0.00666666666666699,-0.033333333333333,0.964,0.954,0.96,0.00600000000000001,8.88090503922193,8.96163280230473,8.91566781081657,-0.0459649914881552,1.21597362278,1.2086355108092,1.2065513412581,-0.00208416955110491,NaN,,-0.01,0.0807277630827947,-0.00733811197080603
mixed_conflict,3,19,LB/MLB,10068,10068,comparable_oracle_action,1,0.366666666666667,0.393333333333333,0.413333333333333,0.0266666666666667,0.0466666666666664,0.0200000000000004,0.964,0.954,0.96,0.00600000000000001,8.88090503922193,8.96163280230473,8.92249051872381,-0.0391422835809205,1.21597362278,1.2086355108092,1.21095082653814,0.00231531572894461,NaN,,-0.01,0.0807277630827947,-0.00733811197080603
mixed_conflict,3,19,LB/MLB,10089,10089,comparable_oracle_action,1,0.366666666666667,0.393333333333333,0.366666666666667,0.0266666666666667,-3.33066907387547e-16,-0.0266666666666663,0.964,0.954,0.96,0.00600000000000001,8.88090503922193,8.96163280230473,8.91523119710119,-0.0464016052035401,1.21597362278,1.2086355108092,1.21090767644617,0.00227216563697152,NaN,,-0.01,0.0807277630827947,-0.00733811197080603
mixed_conflict,3,19,LB/MLB,10111,10111,comparable_oracle_action,1,0.366666666666667,0.393333333333333,0.366666666666667,0.0266666666666667,-3.33066907387547e-16,-0.0266666666666663,0.964,0.954,0.96,0.00600000000000001,8.88090503922193,8.96163280230473,8.92172092576245,-0.0399118765422841,1.21597362278,1.2086355108092,1.21133442356701,0.0026989127578072,NaN,,-0.01,0.0807277630827947,-0.00733811197080603
normal,3,20,LB/MLB,10160,10160,comparable_oracle_action,1,0.986666666666667,0.96,0.96,-0.0266666666666667,-0.0266666666666671,0,0.98,0.95,0.95,0,8.98963147881637,9.22445260741275,9.22445260741275,0,0.369882254128349,0.352938626314315,0.352938626314315,-1.66533453693773e-16,NaN,,-0.03,0.234821128596378,-0.0169436278140346
degraded_sector,4,21,LB/MLB,10433,10433,comparable_oracle_action,1,0.986666666666667,0.986666666666667,0.986666666666667,0,-3.33066907387547e-16,-3.33066907387547e-16,0.972,0.952,0.952,0,8.11263878149011,8.28500241978732,8.28500241978732,0,0.415070566172145,0.403364226358575,0.403364226358575,3.88578058618805e-16,NaN,,-0.02,0.172363638297208,-0.0117063398135701
