oracle_group_id,module_name,scenario_name,realization_id,source_sector_id,oracle_reward,raw_true_reward,safe_true_reward,raw_regret,safety_enforced_regret,raw_top1_oracle_match,safe_top1_oracle_match,safe_top2_oracle_match
1183,ES,low_load,8,15,0.25,0.25,0.25,0,0,1,1,1
1184,ES,low_load,8,16,0.25,0.25,0.25,0,0,1,1,1
1185,ES,low_load,8,17,0,-0.131727546561077,0,0.131727546561077,0,0,1,1
1186,ES,low_load,8,18,0.25,0.25,0.25,0,0,1,1,1
1187,ES,low_load,8,20,0,-0.184278326554016,0,0.184278326554016,0,0,1,1
1188,ES,low_load,8,21,0.25,0.25,0.25,0,0,1,1,1
1206,ES,normal,8,3,0,0,0,0,0,1,1,1
1207,ES,normal,8,14,0,0,0,0,0,1,1,1
1234,ES,low_load_energy_saving_candidate,9,2,0,-0.16640859894043,0,0.16640859894043,0,0,1,1
1235,ES,low_load_energy_saving_candidate,9,3,0.25,0.25,0.25,0,0,1,1,1
1236,ES,low_load_energy_saving_candidate,9,4,0,-0.0725716677361685,0,0.0725716677361685,0,0,1,1
1237,ES,low_load_energy_saving_candidate,9,5,0.25,0.25,0.25,0,0,1,1,1
1238,ES,low_load_energy_saving_candidate,9,7,0,-0.00860712131362229,0,0.00860712131362229,0,0,1,1
1239,ES,low_load_energy_saving_candidate,9,8,0,-0.115722528296712,0,0.115722528296712,0,0,1,1
1240,ES,low_load_energy_saving_candidate,9,9,0,-0.0949713053280697,0,0.0949713053280697,0,0,1,1
1241,ES,low_load_energy_saving_candidate,9,10,0.25,0.25,0.25,0,0,1,1,1
1242,ES,low_load_energy_saving_candidate,9,11,0,-0.0430591963119774,0,0.0430591963119774,0,0,1,1
1243,ES,low_load_energy_saving_candidate,9,12,0.25,0.25,0.25,0,0,1,1,1
1244,ES,low_load_energy_saving_candidate,9,13,0,-0.048763694794961,0,0.048763694794961,0,0,1,1
1245,ES,low_load_energy_saving_candidate,9,14,0,0,0,0,0,1,1,1
1246,ES,low_load_energy_saving_candidate,9,15,0,-0.123921624252962,0,0.123921624252962,0,0,1,1
1247,ES,low_load_energy_saving_candidate,9,16,0,-0.176576520481573,0,0.176576520481573,0,0,1,1
1248,ES,low_load_energy_saving_candidate,9,17,0.25,0.25,0.25,0,0,1,1,1
1249,ES,low_load_energy_saving_candidate,9,18,0,-0.101052855169648,0,0.101052855169648,0,0,1,1
1250,ES,low_load_energy_saving_candidate,9,20,0.25,0.25,0.25,0,0,1,1,1
1251,ES,low_load_energy_saving_candidate,9,21,0.25,0.25,0.25,0,0,1,1,1
1257,ES,degraded_sector,10,5,0,-0.0732099943842824,0,0.0732099943842824,0,0,1,1
