dataset_id,scenario_id,realization_id,scenario_name,traffic_mode,impaired_sector_id,impaired_sector_status,ue_seed,shadowing_seed,traffic_seed,num_sites,num_sectors,num_ues,attached_ues,unattached_ues,attach_rate,active_ues,active_attached_ues,active_attach_rate,coverage_ratio,sinr_threshold_ratio,total_offered_traffic_Mbps,total_served_traffic_Mbps,total_unserved_traffic_Mbps,mean_ue_throughput_Mbps,median_ue_throughput_Mbps,qos_satisfied_ues,qos_satisfaction_ratio,overloaded_sector_count,mean_sector_load,max_sector_load,jain_fairness_index,mean_best_RSRP_dBm,mean_best_SINR_dB,boundary_ue_count,boundary_ue_ratio,handover_risk_score,es_candidate_sector_count,outage_scenario_label,degraded_scenario_label,overload_scenario_label,handover_stress_label,energy_saving_candidate_label
56,3,14,overload,overload,0,normal,31114,31214,31314,7,21,500,481,19,0.962,150,144,0.96,0.962,0.972,1156.04452247056,834.146234666188,321.898287804369,1.66829246933238,0,69,0.46,18,1.27651064598913,2.88901217192044,0.244093235498956,-88.5086961972567,8.7708889489943,90,0.187110187110187,0.187110187110187,0,0,0,1,0,0
57,3,15,overload,overload,0,normal,31115,31215,31315,7,21,500,481,19,0.962,150,148,0.986666666666667,0.962,0.972,1134.75727308622,805.930809993019,328.826463093197,1.61186161998604,0,65,0.433333333333333,15,1.24056611885566,2.76921139715996,0.252236581211939,-88.0783550136317,8.99012215322429,81,0.168399168399168,0.168399168399168,0,0,0,1,0,0
58,3,16,overload,overload,0,normal,31116,31216,31316,7,21,500,488,12,0.976,150,146,0.973333333333333,0.976,0.98,1153.01049768584,773.415598045901,379.594899639943,1.5468311960918,0,50,0.333333333333333,16,1.38155668622608,3.57975917899589,0.243240179709184,-88.8080184762221,8.2247215382045,76,0.155737704918033,0.155737704918033,0,0,0,1,0,0
59,3,17,overload,overload,0,normal,31117,31217,31317,7,21,500,484,16,0.968,150,148,0.986666666666667,0.968,0.974,1137.5091165065,767.755208274062,369.753908232436,1.53551041654812,0,40,0.266666666666667,15,1.30275091764041,3.71468735605018,0.249929837302215,-88.9270688000413,7.99483625032076,82,0.169421487603306,0.169421487603306,0,0,0,1,0,0
60,3,18,overload,overload,0,normal,31118,31218,31318,7,21,500,494,6,0.988,150,149,0.993333333333333,0.988,0.992,1128.79242936061,739.591253759721,389.201175600889,1.47918250751944,0,45,0.3,15,1.32355923219124,2.67807964179287,0.247187332737321,-88.511702663196,8.28322484971865,85,0.172064777327935,0.172064777327935,0,0,0,1,0,0
61,3,19,overload,overload,0,normal,31119,31219,31319,7,21,500,494,6,0.988,150,149,0.993333333333333,0.988,0.992,1169.48155875088,860.674198704663,308.807360046218,1.72134839740933,0,62,0.413333333333333,18,1.26929366848327,2.48727108111173,0.257959875426249,-87.8282912080516,8.96704103617659,74,0.149797570850202,0.149797570850202,0,0,0,1,0,0
62,3,20,overload,overload,0,normal,31120,31220,31320,7,21,500,485,15,0.97,150,146,0.973333333333333,0.97,0.98,1099.99087357925,812.451117936849,287.5397556424,1.6249022358737,0,65,0.433333333333333,16,1.2272580142092,2.21219249818356,0.246176861907459,-88.7266604151136,8.41263809017354,79,0.162886597938144,0.162886597938144,0,0,0,1,0,0
63,3,21,overload,overload,0,normal,31121,31221,31321,7,21,500,486,14,0.972,150,148,0.986666666666667,0.972,0.976,1148.25401875215,804.82442987882,343.429588873326,1.60964885975764,0,62,0.413333333333333,18,1.31454242524061,2.43722743419862,0.249282747585314,-89.2378418627496,7.89759085596715,92,0.189300411522634,0.189300411522634,0,0,0,1,0,0
64,4,1,degraded_sector,normal,1,degraded,41101,41201,41301,7,21,500,490,10,0.98,75,75,1,0.98,0.986,328.649933091334,326.628128171722,2.02180491961154,0.653256256343444,0,75,1,1,0.368215123553793,1.05150223712569,0.123363751865549,-88.344066113905,8.80899802700447,89,0.181632653061225,0.181632653061225,0,0,1,0,0,0
65,4,2,degraded_sector,normal,2,degraded,41102,41202,41302,7,21,500,485,15,0.97,75,71,0.946666666666667,0.97,0.982,322.500913064541,312.960341220161,9.54057184437956,0.625920682440322,0,71,0.946666666666667,0,0.360405482395157,0.664218975879013,0.120075451108725,-88.6289272870172,8.73664001249368,89,0.183505154639175,0.183505154639175,0,0,1,0,0,0
