sector_id,site_id,azimuth_deg,attached_ue_count,active_ue_count,active_attached_ue_count,offered_traffic_Mbps,served_traffic_Mbps,unserved_traffic_Mbps,sector_capacity_Mbps,sector_load_ratio,mean_RSRP_dBm,median_RSRP_dBm,mean_SINR_dB,median_SINR_dB,mean_UE_throughput_Mbps,median_UE_throughput_Mbps,qos_satisfaction_ratio,overload_flag,scenario_name,realization_id,phase_tag
18,6,270,20,5,5,22.9068092643436,22.9068092643436,0,45.8175048031927,0.499957589631712,-91.2548416267321,-92.8643557718358,9.13726530614787,9.14366135974194,4.58136185286872,4.90534713994607,1,0,outage_sector,2,post
19,7,30,25,2,2,7.31844030959079,7.31844030959079,0,41.6444112171964,0.17573643366985,-89.0681154452072,-89.1447410760334,8.30656931091264,5.4582487522391,3.65922015479539,3.65922015479539,1,0,outage_sector,2,post
20,7,150,26,7,7,38.4257647264312,38.4257647264312,0,47.7524897454839,0.804686099745517,-85.0944080937292,-85.602674767786,9.58944292838704,8.30167436602476,5.48939496091875,6.58843913008771,1,1,outage_sector,2,post
21,7,270,23,6,6,29.033452676243,29.033452676243,0,47.8827633226079,0.606344552018258,-90.4337588795631,-90.0013607702063,9.63880181342656,9.08078220672177,4.83890877937383,5.54714200153826,1,0,outage_sector,2,post
1,1,30,32,7,7,22.3981091511989,22.3981091511989,0,37.3153014761758,0.600239265532912,-88.6429589227974,-89.3559047390571,7.07210844041362,6.37619853413304,3.19972987874271,3.4754969993735,1,0,outage_sector,9,pre
2,1,150,23,4,4,11.7140858020309,11.7140858020309,0,45.716371893515,0.25623393364014,-84.0665982574018,-84.0479998169186,8.94898008867402,6.81214089066687,2.92852145050772,3.28130512907024,1,0,outage_sector,9,pre
3,1,270,22,1,1,6.09249146705967,6.09249146705967,0,30.7044644706954,0.198423635522919,-88.4254275690802,-89.4702149372791,5.03166209062639,4.48915335176017,6.09249146705967,6.09249146705967,1,0,outage_sector,9,pre
4,2,30,32,2,2,6.6375254540076,6.6375254540076,0,50.6894199434361,0.13094498736451,-89.8553541773834,-91.6170456723101,11.1531315694574,8.00552254640733,3.3187627270038,3.3187627270038,1,0,outage_sector,9,pre
5,2,150,24,2,2,9.34025470734113,9.34025470734113,0,40.9941395588421,0.227843657846125,-89.5375088078382,-89.3281298248037,7.84944253787655,5.81106551929139,4.67012735367056,4.67012735367056,1,0,outage_sector,9,pre
6,2,270,25,4,4,9.94227432899951,9.94227432899951,0,41.0362958714874,0.242280013774527,-90.2911717904156,-89.9103122874159,7.88453940357237,5.59899508953477,2.48556858224988,2.47831457895875,1,0,outage_sector,9,pre
7,3,30,29,3,3,19.0599978230707,19.0599978230707,0,49.3404048970799,0.386295934596167,-89.4490579124399,-90.4024985740576,11.1284572690274,8.59486626145865,6.35333260769025,6.78598450245032,1,0,outage_sector,9,pre
8,3,150,18,4,4,18.9596841411786,18.9596841411786,0,64.1336574880133,0.295627676383843,-84.255536945256,-81.9235051338017,14.2711638615204,15.3035781205021,4.73992103529465,4.535440786301,1,0,outage_sector,9,pre
9,3,270,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,outage_sector,9,pre
10,4,30,25,4,4,22.7645175391925,22.7645175391925,0,42.2323133933932,0.539030796801054,-89.0164520547207,-88.7463728441569,8.33659639537968,7.94729559425906,5.69112938479813,5.93936481887952,1,0,outage_sector,9,pre
11,4,150,28,2,2,7.17886995181532,7.17886995181532,0,49.1290861636599,0.146122602970894,-91.1091029406374,-90.1412834143275,9.80983630273531,9.5553930436722,3.58943497590766,3.58943497590766,1,0,outage_sector,9,pre
12,4,270,19,1,1,1.96890397838117,1.96890397838117,0,30.3821229043188,0.0648046874335201,-88.9050878499888,-86.5127201361839,4.75186354177993,3.97729126930756,1.96890397838117,1.96890397838117,1,0,outage_sector,9,pre
13,5,30,22,3,3,9.94951204976575,9.94951204976575,0,25.7874807002705,0.385827222341319,-90.3283186435023,-90.1544847787599,3.26574106586967,1.16609986567343,3.31650401658858,2.66801870219704,1,0,outage_sector,9,pre
14,5,150,24,8,8,41.0582372819553,41.0582372819553,0,60.8354975027977,0.674905917882354,-85.5940152696993,-86.0802803789159,13.7326103584621,14.1011308093265,5.13227966024441,5.86829194988029,1,0,outage_sector,9,pre
15,5,270,31,3,3,15.3753955925292,15.3753955925292,0,46.3265426920897,0.33189171259168,-88.4387533024827,-91.1099434271104,9.2992690109946,6.5348928743497,5.12513186417641,5.63377848686298,1,0,outage_sector,9,pre
16,6,30,19,0,0,0,0,0,33.4807059870611,0,-88.9421705371122,-88.2335474137004,5.63660411530533,4.9929179488458,NaN,NaN,NaN,0,outage_sector,9,pre
17,6,150,26,3,3,9.60771091183221,9.60771091183221,0,39.8641582009836,0.241011257867102,-88.5977942252862,-89.9352120200234,7.90096240379249,6.26990069411343,3.20257030394407,3.74219245012437,1,0,outage_sector,9,pre
18,6,270,18,5,5,25.4971951440558,25.4971951440558,0,52.9724624939802,0.481329240583319,-89.8347412045659,-92.3231732672876,10.7553179121381,12.2654915222226,5.09943902881117,6.30148199351753,1,0,outage_sector,9,pre
19,7,30,19,2,2,6.11996066406525,6.11996066406525,0,41.7464184945142,0.146598460053992,-88.2459939418443,-87.4896734463802,8.28920968190972,7.02982422630184,3.05998033203262,3.05998033203262,1,0,outage_sector,9,pre
20,7,150,24,9,9,39.897894533263,37.8194756210238,2.07841891223914,37.8194756210238,1.05495631227324,-87.7628037703081,-87.4624839488287,6.79519982918702,6.08479562336859,4.20216395789154,4.38087718031279,1,1,outage_sector,9,pre
21,7,270,28,5,5,22.4223096375978,22.4223096375978,0,53.360897591329,0.420201133221592,-90.6761156097237,-90.9770409214405,10.8266505333322,11.723478454243,4.48446192751956,5.0542664405632,1,0,outage_sector,9,pre
1,1,30,38,8,8,27.0021139597329,27.0021139597329,0,34.7463623023445,0.777120601137315,-86.7404839639968,-87.4633879339439,6.15291730266843,4.9600293594381,3.37526424496662,3.80517697523846,1,0,outage_sector,9,post
2,1,150,22,4,4,11.7140858020309,11.7140858020309,0,47.2482158576234,0.247926521444319,-83.9834443110866,-83.8998272813393,9.37370729259057,9.18164685304957,2.92852145050772,3.28130512907024,1,0,outage_sector,9,post
3,1,270,22,1,1,6.09249146705967,6.09249146705967,0,31.0155028705855,0.196433747744831,-88.4254275690802,-89.4702149372791,5.11637217814676,4.82544185686074,6.09249146705967,6.09249146705967,1,0,outage_sector,9,post
