dataset_id,scenario_id,realization_id,scenario_name,traffic_mode,active_ues,total_served_traffic_Mbps,total_unserved_traffic_Mbps,overloaded_sector_count,mean_sector_load,max_sector_load,mean_best_RSRP_dBm,mean_best_SINR_dB,coverage_ratio,boundary_ue_ratio,handover_risk_score,es_candidate_sector_count,qos_satisfaction_ratio_active
31,2,10,low_load,low_load,25,34.6504721675245,1.77654820243713,0,0.0412339173917158,0.151975355072823,-89.4543690313333,7.70547157997826,0.972,0.181069958847737,0.181069958847737,0,0.96
32,2,11,low_load,low_load,25,41.1124013573639,2.537857839981,0,0.0439908132199562,0.138773051833391,-88.1355494261157,8.91736419357702,0.97,0.179381443298969,0.179381443298969,0,0.96
33,2,12,low_load,low_load,25,45.9686117965604,0,0,0.0523488712223195,0.147716844524964,-88.5399850510173,8.1545977224478,0.98,0.187755102040816,0.187755102040816,0,1
34,2,13,low_load,low_load,25,41.1022488210622,2.96314924171235,0,0.0476510233445015,0.156512010474692,-88.4443828653893,8.52130656881279,0.98,0.177551020408163,0.177551020408163,0,0.96
35,2,14,low_load,low_load,25,46.9617902316564,0,0,0.0524064308960586,0.17443266159041,-87.9903614615677,9.00020395051335,0.98,0.155102040816327,0.155102040816327,0,1
36,2,15,low_load,low_load,25,45.0730721007835,1.62185027039076,0,0.0480334770990282,0.18718700045637,-87.5317525445319,9.21836778674781,0.974,0.160164271047228,0.160164271047228,0,0.96
37,2,16,low_load,low_load,25,38.5407750821637,1.77338301637987,0,0.0494440612892188,0.407422328702959,-88.6305016453927,8.46143990776923,0.972,0.160493827160494,0.160493827160494,0,0.96
38,2,17,low_load,low_load,25,37.9036231854914,1.32760636370509,0,0.0418585775195068,0.183744744716825,-88.9129463924715,8.368531940093,0.974,0.154004106776181,0.154004106776181,0,0.96
39,2,18,low_load,low_load,25,45.1766652640223,0,0,0.0487777690174344,0.171293635352552,-87.9272598028667,8.79419097579335,0.98,0.159183673469388,0.159183673469388,0,1
40,2,19,low_load,low_load,25,38.0670681281088,2.14409742177083,0,0.0436410702169203,0.152960383090112,-88.1064966602022,8.67495966169499,0.976,0.151639344262295,0.151639344262295,0,0.96
41,2,20,low_load,low_load,25,49.1781624047214,0,0,0.059650200506057,0.166884789907108,-88.7096350208712,8.26869468657356,0.97,0.181443298969072,0.181443298969072,0,1
