traffic_mode,sector_id,site_id,azimuth_deg,attached_ue_count,active_ue_count,active_attached_ue_count,offered_traffic_Mbps,served_traffic_Mbps,unserved_traffic_Mbps,sector_capacity_Mbps,sector_load_ratio,mean_RSRP_dBm,median_RSRP_dBm,mean_SINR_dB,median_SINR_dB,mean_UE_throughput_Mbps,median_UE_throughput_Mbps,qos_satisfaction_ratio,overload_flag
normal,3,1,270,23,5,5,22.9753950660873,22.9753950660873,0,33.4871641553471,0.686095572605202,-87.3176432843084,-88.6851134720523,5.69700580590055,4.02243564273351,4.59507901321745,4.91134124977659,1,0
normal,4,2,30,24,1,1,7.47964408141439,7.47964408141439,0,55.9365448599305,0.13371659082884,-87.6522679601982,-90.436718593669,11.9784768357406,11.4704644298738,7.47964408141439,7.47964408141439,1,0
normal,5,2,150,26,4,4,15.720274821961,15.720274821961,0,33.9015863021969,0.463703222670213,-88.9192265788546,-89.6826087259483,5.74137216165672,4.56308262574071,3.93006870549026,3.79185243497748,1,0
normal,6,2,270,26,1,1,6.47329819796132,6.47329819796132,0,41.8901539021261,0.154530303543066,-91.5891253036479,-92.2575393529815,8.3150009313893,8.21645728080615,6.47329819796132,6.47329819796132,1,0
normal,7,3,30,23,4,4,22.856172283592,22.856172283592,0,59.8766959000659,0.381720666780594,-87.1756557117924,-88.2169673341703,13.0111997059527,14.3953900867623,5.71404307089801,6.12799563082516,1,0
normal,8,3,150,33,7,7,27.4747047062965,27.4747047062965,0,42.5092289482998,0.64632328993103,-88.3128813805098,-89.4824691673178,8.33738305990662,5.87898343584479,3.92495781518522,4.37319108320001,1,0
normal,9,3,270,22,4,4,14.5189074807203,14.5189074807203,0,42.1613591272738,0.344365261966334,-84.0456657127443,-84.7275504477005,8.18076693515316,5.94593327563523,3.62972687018008,2.74179212951034,1,0
normal,10,4,30,25,3,3,15.6350149677399,15.6350149677399,0,42.8728088576986,0.364683709426059,-87.6466992548692,-89.090929083239,7.91662287487146,9.1588180710189,5.21167165591332,4.37644155559147,1,0
normal,11,4,150,22,2,2,7.57670720347156,7.57670720347156,0,47.0552967990616,0.161017095181146,-88.8948755117851,-90.4208514210981,9.98768182451091,7.65030221943893,3.78835360173578,3.78835360173578,1,0
normal,12,4,270,27,1,1,1.4766682615429,1.4766682615429,0,33.1915624640902,0.0444892663049682,-88.9105232334278,-91.0446833336308,5.63254208854971,2.03501338086627,1.4766682615429,1.4766682615429,1,0
normal,13,5,30,17,4,4,11.9190804297649,11.9190804297649,0,50.9575098279004,0.233902332944043,-82.2239187929964,-82.9346959290611,11.4607284596707,9.30581376209746,2.97977010744122,2.6474160756891,1,0
normal,14,5,150,28,3,3,16.532799307261,16.532799307261,0,52.3259837953897,0.315957734725241,-89.668359627558,-89.995681549539,10.9252884395577,11.2449498031689,5.51093310242033,5.52849698789496,1,0
normal,15,5,270,25,5,5,21.203153677753,21.203153677753,0,48.8312701208346,0.434212618784748,-86.2939086688513,-86.1232964824157,10.3516935934875,8.35122831185965,4.2406307355506,3.41661239186928,1,0
