scenario_id,scenario_name,sector_id,site_id,azimuth_deg,attached_ue_count,active_ue_count,active_attached_ue_count,offered_traffic_Mbps,served_traffic_Mbps,unserved_traffic_Mbps,sector_capacity_Mbps,sector_load_ratio,mean_RSRP_dBm,median_RSRP_dBm,mean_SINR_dB,median_SINR_dB,mean_UE_throughput_Mbps,median_UE_throughput_Mbps,qos_satisfaction_ratio,overload_flag,es_candidate
2,low_load,7,3,30,28,3,3,4.00167431752305,4.00167431752305,0,54.0742180226306,0.0740033691443916,-88.4382814116212,-87.3230920990358,11.593458818009,11.428067478927,1.33389143917435,0.997067403140216,1,0,0
2,low_load,8,3,150,28,2,2,3.57118422845053,3.57118422845053,0,46.8441639515116,0.0762354139172398,-88.6556389581001,-87.9632900728738,9.41575567626503,8.68714290164495,1.78559211422527,1.78559211422527,1,0,0
2,low_load,9,3,270,21,1,1,0.573869029532178,0.573869029532178,0,40.5572754001725,0.0141495952050501,-86.4410847710782,-86.4319682162405,7.60833592778007,5.12542926287039,0.573869029532178,0.573869029532178,1,0,0
2,low_load,10,4,30,27,1,1,2.36862486425519,2.36862486425519,0,41.0771283381852,0.0576628639849032,-87.8958253938024,-89.0990790177218,7.77815221090477,7.59429354719235,2.36862486425519,2.36862486425519,1,0,0
2,low_load,11,4,150,23,0,0,0,0,0,40.5270420628209,0,-91.39371467247,-91.9199032346085,8.07682458907712,6.75800054857293,NaN,NaN,NaN,0,0
2,low_load,12,4,270,23,1,1,2.63778218360743,2.63778218360743,0,34.605698242209,0.0762239260466675,-84.6586434269016,-85.2219652366034,6.13699451488604,6.1913906437512,2.63778218360743,2.63778218360743,1,0,0
2,low_load,13,5,30,22,1,1,1.24624941620209,1.24624941620209,0,35.7961025430183,0.0348152264538966,-85.9188835537153,-86.5851448014667,6.61994408143862,5.19907853587805,1.24624941620209,1.24624941620209,1,0,0
2,low_load,14,5,150,31,1,1,1.17495318771948,1.17495318771948,0,51.4340910060279,0.022843860263454,-89.3995734179541,-89.9180850618075,10.4333501947439,9.80002530457659,1.17495318771948,1.17495318771948,1,0,0
2,low_load,15,5,270,26,2,2,4.02541185661129,4.02541185661129,0,29.3164401952096,0.137309026259916,-91.3082619192001,-90.7327315910204,4.56772955182082,2.73005595704479,2.01270592830564,2.01270592830564,1,0,0
2,low_load,16,6,30,17,1,1,1.85452007702609,1.85452007702609,0,29.8260789485327,0.0621778035331502,-87.8839199033095,-88.6826212446397,4.93299281200439,6.43242608138281,1.85452007702609,1.85452007702609,1,0,0
2,low_load,17,6,150,21,2,2,4.55955822356717,4.55955822356717,0,49.658459839672,0.0918183576028782,-86.3798958115902,-86.9738202361338,10.5406914379277,9.64061086786303,2.27977911178358,2.27977911178358,1,0,0
2,low_load,18,6,270,24,0,0,0,0,0,59.0619867087499,0,-87.8714008863819,-88.7930458026372,14.0769925429078,12.4755813808277,NaN,NaN,NaN,0,0
2,low_load,19,7,30,21,1,1,1.61518039357655,1.61518039357655,0,42.5115784180422,0.037993893750392,-88.1184684725153,-92.2503356850127,8.14979552691559,6.55867341866668,1.61518039357655,1.61518039357655,1,0,0
2,low_load,20,7,150,14,0,0,0,0,0,29.9667886765666,0,-89.5635499724177,-91.818936242039,4.58133545309504,2.49138969135319,NaN,NaN,NaN,0,0
2,low_load,21,7,270,28,1,1,1.88880508341008,1.88880508341008,0,50.6723890588778,0.0372748378059582,-87.6055765234618,-86.0202276771641,10.322705147193,11.4089788690347,1.88880508341008,1.88880508341008,1,0,0
3,overload,1,1,30,21,4,4,27.2714510018996,27.2714510018996,0,30.6914485004302,0.888568390687632,-88.2497921678464,-88.4461990504893,4.99114545242917,2.50833267041591,6.8178627504749,6.4666769466241,1,1,0
3,overload,2,1,150,17,8,8,58.3793653521437,43.8794057991377,14.4999595530059,43.8794057991377,1.33045022577063,-85.7738826235953,-85.4713986764819,8.40526609031103,7.5410429707005,5.48492572489222,5.42718670399466,0,1,0
3,overload,3,1,270,20,8,8,50.4830376485656,30.0537449455309,20.4292927030347,30.0537449455309,1.67975863707037,-90.0265626219289,-91.4235192852555,4.72742942619943,3.35937240233636,3.75671811819137,3.39024439419741,0,1,0
3,overload,4,2,30,23,12,12,94.6523727668356,55.0643779293484,39.5879948374872,55.0643779293484,1.71894019920249,-88.491645087168,-86.6260977325075,11.5907647881925,10.5947228618514,4.58869816077904,4.62311823587015,0,1,0
3,overload,5,2,150,23,5,5,32.609135950018,32.609135950018,0,38.4543662450083,0.847995666922503,-87.2730569036018,-87.0215314744135,6.79970717894558,4.49732554190668,6.5218271900036,6.53715316608441,1,1,0
3,overload,6,2,270,27,9,9,48.3955704300153,40.2110765845342,8.18449384548112,40.2110765845342,1.20353829194986,-89.7325094452535,-89.9596281990182,7.46090728026113,5.16271476429945,4.46789739828158,3.22782625004802,1,1,0
3,overload,7,3,30,28,6,6,46.6247267813642,46.6247267813642,0,54.0742180226306,0.862235802686065,-88.4382814116212,-87.3230920990358,11.593458818009,11.428067478927,7.77078779689403,8.20568552137432,1,1,0
3,overload,8,3,150,28,5,5,34.4283478325247,34.4283478325247,0,46.8441639515116,0.7349548999991,-88.6556389581001,-87.9632900728738,9.41575567626503,8.68714290164495,6.88566956650494,6.90412198882727,1,0,0
3,overload,9,3,270,21,6,6,42.1472018491903,40.5572754001725,1.58992644901782,40.5572754001725,1.03920200342183,-86.4410847710782,-86.4319682162405,7.60833592778007,5.12542926287039,6.75954590002875,6.04715525192389,1,1,0
3,overload,10,4,30,27,8,8,63.5852473420543,41.0771283381852,22.5081190038691,41.0771283381852,1.54794772454786,-87.8958253938024,-89.0990790177218,7.77815221090477,7.59429354719235,5.13464104227315,5.77838954980037,0,1,0
3,overload,11,4,150,23,6,6,40.2403712095121,39.3855981729616,0.854773036550524,40.5270420628209,0.992926430385312,-91.39371467247,-91.9199032346085,8.07682458907712,6.75800054857293,6.56426636216027,5.82784028406265,1,1,0
3,overload,12,4,270,23,2,2,20.0312103088054,20.0312103088054,0,34.605698242209,0.578841385271432,-84.6586434269016,-85.2219652366034,6.13699451488604,6.1913906437512,10.0156051544027,10.0156051544027,1,0,0
3,overload,13,5,30,22,5,5,31.5527165289073,31.5527165289073,0,35.7961025430183,0.881456758902413,-85.9188835537153,-86.5851448014667,6.61994408143862,5.19907853587805,6.31054330578146,6.70386199950342,1,1,0
3,overload,14,5,150,31,8,8,60.1351373727126,51.4340910060279,8.70104636668468,51.4340910060279,1.16916885661817,-89.3995734179541,-89.9180850618075,10.4333501947439,9.80002530457659,6.42926137575349,6.70257135797986,1,1,0
3,overload,15,5,270,26,8,8,53.155193975934,29.3164401952096,23.8387537807244,29.3164401952096,1.81315308482166,-91.3082619192001,-90.7327315910204,4.56772955182082,2.73005595704479,3.6645550244012,2.83228445387905,0,1,0
3,overload,16,6,30,17,6,6,38.3369052973231,29.8260789485327,8.51082634879043,29.8260789485327,1.2853484818932,-87.8839199033095,-88.6826212446397,4.93299281200439,6.43242608138281,4.97101315808878,4.35604799480321,0,1,0
3,overload,17,6,150,21,6,6,38.4247022533956,38.4247022533956,0,49.658459839672,0.77377958111174,-86.3798958115902,-86.9738202361338,10.5406914379277,9.64061086786303,6.40411704223259,5.88848836529535,1,0,0
3,overload,18,6,270,24,9,9,68.9484605872693,59.0619867087499,9.88647387851942,59.0619867087499,1.16739148866211,-87.8714008863819,-88.7930458026372,14.0769925429078,12.4755813808277,6.56244296763888,6.46852706876666,1,1,0
3,overload,19,7,30,21,10,10,73.3726774071028,42.5115784180422,30.8610989890606,42.5115784180422,1.72594573378539,-88.1184684725153,-92.2503356850127,8.14979552691559,6.55867341866668,4.25115784180422,4.03716826757627,0,1,0
3,overload,20,7,150,14,2,2,17.7268332189379,17.7268332189379,0,29.9667886765666,0.591549311815314,-89.5635499724177,-91.818936242039,4.58133545309504,2.49138969135319,8.86341660946897,8.86341660946897,1,0,0
3,overload,21,7,270,28,8,8,50.7184138015207,50.6723890588778,0.0460247426428637,50.6723890588778,1.00090828049551,-87.6055765234618,-86.0202276771641,10.322705147193,11.4089788690347,6.33404863235972,5.88275406059016,1,1,0
4,degraded_sector,1,1,30,21,4,4,17.8634324057948,17.8634324057948,0,30.6951641922994,0.5819624320588,-88.2497921678464,-88.4461990504893,4.99232003691556,2.50839803829972,4.46585810144869,4.71220284679173,1,0,0
4,degraded_sector,2,1,150,17,1,1,4.93363130501094,4.93363130501094,0,43.9145097923035,0.112346268428018,-85.7738826235953,-85.4713986764819,8.41538570497615,7.54150028822666,4.93363130501094,4.93363130501094,1,0,0
