ue_id,x_m,y_m,serving_sector,isAttached,isTrafficActive,demand_Mbps,service_class,spectralEfficiency_bpsHz,peakThroughput_Mbps,servedThroughput_Mbps,unservedDemand_Mbps,meetsMinThroughput,qosSatisfied,bestRSRP_dBm,bestSINR_dB
63,141.58709456393,32.0393870335029,2,1,0,0,no_traffic,0.735195735086728,14.7039147017346,0,0,0,0,-85.4612423091534,0.297615689984456
64,626.096774227257,-680.077759396182,11,1,0,0,no_traffic,1.84734643751217,36.9469287502433,0,0,0,0,-86.6798513585573,7.18442225684842
65,-14.3358952287515,-816.789579453439,15,1,0,0,no_traffic,4.29260472166321,85.8520944332641,0,0,0,0,-66.1796909793062,18.3976813879607
66,52.52647626001,-705.792075772377,13,1,0,0,no_traffic,4.5,90,0,0,0,0,-59.9360885142615,38.4494881595986
67,-167.423725179971,-791.765547981719,15,1,0,0,no_traffic,4.5,90,0,0,0,0,-77.0892115289313,23.058231564759
68,-906.006080690336,-378.444312485168,18,1,0,0,no_traffic,4.5,90,0,0,0,0,-75.9127137984902,26.8739483505076
69,-428.949075759606,969.086482278367,6,1,0,0,no_traffic,1.93824237270795,38.764847454159,0,0,0,0,-90.9123520142614,7.64621695392419
70,19.8034392652951,1080.10474498741,4,1,0,0,no_traffic,4.5,90,0,0,0,0,-78.5461682892495,24.3841269392061
71,-579.285382937955,-823.437542050999,17,1,0,0,no_traffic,3.25461761229943,65.0923522459885,0,0,0,0,-79.0645669384247,13.8196633760278
72,-207.069220753883,-261.996235008773,3,1,0,0,no_traffic,1.02372851134985,20.474570226997,0,0,0,0,-84.5381688268655,2.44474152901614
73,590.476468473917,652.070401267765,9,1,0,0,no_traffic,2.09635419439532,41.9270838879064,0,0,0,0,-91.2189717103778,8.43305745662928
74,-626.638967046427,494.96591366794,19,1,0,0,no_traffic,2.10082437314868,42.0164874629736,0,0,0,0,-80.9321336699935,8.45503177289071
75,-485.800299278797,797.500961019736,19,1,0,0,no_traffic,1.18943822842786,23.7887645685571,0,0,0,0,-88.4752386426302,3.51642258633465
76,-782.782103953324,-695.807030326031,17,1,0,0,no_traffic,2.80124673855391,56.0249347710782,0,0,0,0,-91.3366344716596,11.7666312993482
77,992.859408544698,-697.380040811817,11,1,0,0,no_traffic,1.73211593193952,34.6423186387904,0,0,0,0,-98.8052818439947,6.58732289296352
78,711.942958373444,93.3630308458728,10,1,0,0,no_traffic,0.64326301200915,12.865260240183,0,0,0,0,-95.2713859949317,-0.502514910336547
79,308.242723841983,234.679903685124,5,1,0,0,no_traffic,0.718503507448189,14.3700701489638,0,0,0,0,-89.2300529172316,0.157714250432003
80,858.29685096211,202.223334607407,8,1,0,0,no_traffic,1.05202327623049,21.0404655246098,0,0,0,0,-87.4635906830878,2.63422885547217
81,907.046833825679,-591.876457873268,11,1,0,0,no_traffic,4.5,90,0,0,0,0,-76.6262583401102,26.6932569461779
82,90.9041853643969,-935.501006517961,14,1,1,6.46378974864722,high_rate,4.5,90,6.46378974864722,0,1,1,-75.9473610212893,20.3035417183088
83,-420.521176253871,914.397825717498,6,1,0,0,no_traffic,0.805612017956318,16.1122403591263,0,0,0,0,-98.8996925766444,0.865321646267739
84,-901.014035021842,781.54996266297,19,1,0,0,no_traffic,2.31706803619925,46.341360723985,0,0,0,0,-95.3850096183299,9.50283527374046
85,-628.633021688153,391.996972305881,21,1,0,0,no_traffic,0.751313592846431,15.0262718569286,0,0,0,0,-82.8226228241485,0.430668430673032
86,-168.424745812557,128.418454957599,3,1,0,0,no_traffic,1.50395090376899,30.0790180753799,0,0,0,0,-92.1696801027554,5.35758514144338
87,833.504096620805,-231.162106750378,10,1,1,4.37644155559147,normal_rate,2.97012664735935,59.4025329471869,4.37644155559147,0,1,1,-84.2354927460874,12.5371871826592
88,-1139.23642215935,-321.470491844525,18,1,0,0,no_traffic,3.33951903573197,66.7903807146393,0,0,0,0,-93.8353313114328,14.1992838605469
89,24.8327176619196,-606.638674579136,13,1,0,0,no_traffic,2.51505551931459,50.3011103862918,0,0,0,0,-81.6750480145402,10.4401064663832
90,-190.830138631128,564.151576510786,5,1,0,0,no_traffic,1.07024517217526,21.4049034435052,0,0,0,0,-87.8809442118652,2.75472762672589
91,-642.097701560763,-10.4140603943235,16,1,0,0,no_traffic,1.00187808865892,20.0375617731784,0,0,0,0,-87.7461098253881,2.29633468703716
92,-375.206389883393,-706.55719016528,17,1,0,0,no_traffic,0.774186355863658,15.4837271172732,0,0,0,0,-94.2134208071952,0.616225326023566
