scenario_name,realization_id,coordinator_group_id,module_name,action_type,action_id,pre_attach_rate,ai_post_attach_rate,delta_attach_rate,pre_mean_rsrp_dBm,ai_post_mean_rsrp_dBm,delta_mean_rsrp_dB,pre_mean_sinr_dB,ai_post_mean_sinr_dB,delta_mean_sinr_dB,pre_mean_sector_load,ai_post_mean_sector_load,delta_mean_sector_load,pre_qos_satisfaction_ratio,ai_post_qos_satisfaction_ratio,delta_qos_satisfaction_ratio,pre_served_traffic_Mbps,ai_post_served_traffic_Mbps,delta_served_traffic_Mbps,outcome_class,tradeoff_flag
overload,12,29,LB/MLB,cio_bias_to_neighbor,14670,0.98,0.97,-0.01,-87.875577816617,-87.8305780164434,0.0449998001735992,8.08425678716069,8.15373514234457,0.0694783551838825,1.23276928081428,1.2115843225847,-0.0211849582295764,0.446666666666667,0.506666666666667,0.0600000000000001,800.713998269043,813.324966529097,12.6109682600543,improved_with_tradeoff,1
overload,12,29,LB/MLB,cio_bias_to_neighbor,14739,0.98,0.97,-0.01,-87.875577816617,-87.8305780164434,0.0449998001735992,8.08425678716069,8.15373514234457,0.0694783551838825,1.23276928081428,1.2115843225847,-0.0211849582295764,0.446666666666667,0.506666666666667,0.0600000000000001,800.713998269043,813.324966529097,12.6109682600543,improved_with_tradeoff,1
overload,12,29,LB/MLB,cio_bias_to_neighbor,14747,0.98,0.97,-0.01,-87.875577816617,-87.8305780164434,0.0449998001735992,8.08425678716069,8.15373514234457,0.0694783551838825,1.23276928081428,1.2115843225847,-0.0211849582295764,0.446666666666667,0.506666666666667,0.0600000000000001,800.713998269043,813.324966529097,12.6109682600543,improved_with_tradeoff,1
overload,12,29,LB/MLB,cio_bias_to_neighbor,14833,0.98,0.97,-0.01,-87.875577816617,-87.8305780164434,0.0449998001735992,8.08425678716069,8.15373514234457,0.0694783551838825,1.23276928081428,1.2115843225847,-0.0211849582295764,0.446666666666667,0.506666666666667,0.0600000000000001,800.713998269043,813.324966529097,12.6109682600543,improved_with_tradeoff,1
overload,12,29,LB/MLB,cio_bias_to_neighbor,14859,0.98,0.97,-0.01,-87.875577816617,-87.8305780164434,0.0449998001735992,8.08425678716069,8.15373514234457,0.0694783551838825,1.23276928081428,1.2115843225847,-0.0211849582295764,0.446666666666667,0.506666666666667,0.0600000000000001,800.713998269043,813.324966529097,12.6109682600543,improved_with_tradeoff,1
overload,13,30,LB/MLB,cio_bias_to_neighbor,15237,0.98,0.972,-0.00800000000000001,-88.2254149612008,-88.1519268814452,0.0734880797555633,8.05768463008206,8.12313326247306,0.0654486323910053,1.33468412657673,1.32817222441246,-0.00651190216426722,0.386666666666667,0.386666666666667,0,829.637448512486,833.637272059824,3.99982354733766,mixed,1
normal,14,31,LB/MLB,cio_bias_to_neighbor,15675,0.982,0.976,-0.00600000000000001,-87.8736100504198,-87.840531828491,0.0330782219288039,8.81327870098177,8.86203195961246,0.0487532586306951,0.406203495624655,0.398670883629433,-0.00753261199522232,0.906666666666667,0.986666666666667,0.0800000000000001,339.027403054978,344.014829371534,4.98742631655608,improved_with_tradeoff,1
overload,14,32,LB/MLB,cio_bias_to_neighbor,15718,0.962,0.948,-0.014,-87.9507067468559,-87.8350643463647,0.115642400491282,8.7708889489943,8.83026899296139,0.0593800439670975,1.27651064598913,1.20960248271096,-0.0669081632781694,0.46,0.58,0.12,834.146234666188,871.208377173218,37.0621425070302,improved_with_tradeoff,1
overload,14,32,LB/MLB,cio_bias_to_neighbor,15818,0.962,0.948,-0.014,-87.9507067468559,-87.8350643463647,0.115642400491282,8.7708889489943,8.83026899296139,0.0593800439670975,1.27651064598913,1.20960248271096,-0.0669081632781694,0.46,0.58,0.12,834.146234666188,871.208377173218,37.0621425070302,improved_with_tradeoff,1
overload,14,32,LB/MLB,cio_bias_to_neighbor,15873,0.962,0.948,-0.014,-87.9507067468559,-87.8350643463647,0.115642400491282,8.7708889489943,8.83026899296139,0.0593800439670975,1.27651064598913,1.20960248271096,-0.0669081632781694,0.46,0.58,0.12,834.146234666188,871.208377173218,37.0621425070302,improved_with_tradeoff,1
overload,14,32,LB/MLB,cio_bias_to_neighbor,15879,0.962,0.948,-0.014,-87.9507067468559,-87.8350643463647,0.115642400491282,8.7708889489943,8.83026899296139,0.0593800439670975,1.27651064598913,1.20960248271096,-0.0669081632781694,0.46,0.58,0.12,834.146234666188,871.208377173218,37.0621425070302,improved_with_tradeoff,1
overload,15,33,LB/MLB,cio_bias_to_neighbor,16247,0.962,0.952,-0.01,-87.5549159326448,-87.4893152733635,0.0656006592812304,8.99012215322429,9.05651932828279,0.0663971750584977,1.24056611885566,1.24180417789826,0.00123805904259378,0.433333333333333,0.433333333333333,0,805.930809993019,817.179505154893,11.2486951618743,mixed,1
overload,15,33,LB/MLB,cio_bias_to_neighbor,16285,0.962,0.952,-0.01,-87.5549159326448,-87.4893152733635,0.0656006592812304,8.99012215322429,9.05651932828279,0.0663971750584977,1.24056611885566,1.24180417789826,0.00123805904259378,0.433333333333333,0.433333333333333,0,805.930809993019,817.179505154893,11.2486951618743,mixed,1
overload,15,33,LB/MLB,cio_bias_to_neighbor,16295,0.962,0.952,-0.01,-87.5549159326448,-87.4893152733635,0.0656006592812304,8.99012215322429,9.05651932828279,0.0663971750584977,1.24056611885566,1.24180417789826,0.00123805904259378,0.433333333333333,0.433333333333333,0,805.930809993019,817.179505154893,11.2486951618743,mixed,1
overload,15,33,LB/MLB,cio_bias_to_neighbor,16312,0.962,0.952,-0.01,-87.5549159326448,-87.4893152733635,0.0656006592812304,8.99012215322429,9.05651932828279,0.0663971750584977,1.24056611885566,1.24180417789826,0.00123805904259378,0.433333333333333,0.433333333333333,0,805.930809993019,817.179505154893,11.2486951618743,mixed,1
handover_stress,16,34,LB/MLB,cio_bias_to_neighbor,16451,0.95,0.944,-0.00600000000000001,-90.1680291643765,-90.1417416869405,0.0262874774360426,6.49231098458532,6.53919078914294,0.0468798045576193,0.416373747769228,0.41173963142456,-0.00463411634466787,0.933333333333333,0.92,-0.0133333333333333,317.29313269786,314.677535907359,-2.61559679050032,mixed,1
handover_stress,17,35,LB/MLB,cio_bias_to_neighbor,16888,0.938,0.938,0,-89.5752660925412,-89.5829995444696,-0.00773345192843067,6.82497542334796,6.81101783935962,-0.0139575839883426,0.429611077913115,0.429888699408966,0.000277621495851199,0.933333333333333,0.933333333333333,0,318.237122926308,318.237122926308,0,unchanged,0
mixed_conflict,19,36,LB/MLB,cio_bias_to_neighbor,17790,0.976,0.952,-0.024,-88.5073510638953,-88.3872593295127,0.120091734382569,8.87953392386844,9.08475123373862,0.20521730987018,1.23741145345519,1.1612784867595,-0.0761329666956982,0.38,0.453333333333333,0.0733333333333333,799.673329255867,786.126532828543,-13.5467964273241,improved_with_tradeoff,1
mixed_conflict,19,36,LB/MLB,cio_bias_to_neighbor,17816,0.976,0.952,-0.024,-88.5073510638953,-88.3872593295127,0.120091734382569,8.87953392386844,9.08475123373862,0.20521730987018,1.23741145345519,1.1612784867595,-0.0761329666956982,0.38,0.453333333333333,0.0733333333333333,799.673329255867,786.126532828543,-13.5467964273241,improved_with_tradeoff,1
mixed_conflict,19,36,LB/MLB,cio_bias_to_neighbor,17889,0.976,0.952,-0.024,-88.5073510638953,-88.3872593295127,0.120091734382569,8.87953392386844,9.08475123373862,0.20521730987018,1.23741145345519,1.1612784867595,-0.0761329666956982,0.38,0.453333333333333,0.0733333333333333,799.673329255867,786.126532828543,-13.5467964273241,improved_with_tradeoff,1
mixed_conflict,19,36,LB/MLB,cio_bias_to_neighbor,17893,0.976,0.952,-0.024,-88.5073510638953,-88.3872593295127,0.120091734382569,8.87953392386844,9.08475123373862,0.20521730987018,1.23741145345519,1.1612784867595,-0.0761329666956982,0.38,0.453333333333333,0.0733333333333333,799.673329255867,786.126532828543,-13.5467964273241,improved_with_tradeoff,1
mixed_conflict,19,36,LB/MLB,cio_bias_to_neighbor,17949,0.976,0.952,-0.024,-88.5073510638953,-88.3872593295127,0.120091734382569,8.87953392386844,9.08475123373862,0.20521730987018,1.23741145345519,1.1612784867595,-0.0761329666956982,0.38,0.453333333333333,0.0733333333333333,799.673329255867,786.126532828543,-13.5467964273241,improved_with_tradeoff,1
