final_decision_id,scenario_name,realization_id,selected_action_id_safe,module_name,final_decision_status,reason_not_applied
231,low_load,2,19437,ES,final_noop,no-op decision; no parameter change to apply
232,low_load,2,19440,ES,final_noop,no-op decision; no parameter change to apply
233,low_load,2,19443,ES,final_noop,no-op decision; no parameter change to apply
236,low_load,2,19452,ES,final_noop,no-op decision; no parameter change to apply
239,low_load,2,19461,ES,final_noop,no-op decision; no parameter change to apply
240,low_load,2,19464,ES,final_noop,no-op decision; no parameter change to apply
241,low_load,2,19467,ES,final_noop,no-op decision; no parameter change to apply
244,normal,2,19531,ES,final_noop,no-op decision; no parameter change to apply
247,low_load,3,19554,ES,final_noop,no-op decision; no parameter change to apply
249,low_load,3,19559,ES,final_noop,no-op decision; no parameter change to apply
250,low_load,3,19562,ES,final_noop,no-op decision; no parameter change to apply
251,low_load,3,19565,ES,final_noop,no-op decision; no parameter change to apply
252,low_load,3,19568,ES,final_noop,no-op decision; no parameter change to apply
253,low_load,3,19571,ES,final_noop,no-op decision; no parameter change to apply
254,low_load,3,19574,ES,final_noop,no-op decision; no parameter change to apply
256,low_load,3,19580,ES,final_noop,no-op decision; no parameter change to apply
257,low_load,3,19583,ES,final_noop,no-op decision; no parameter change to apply
259,low_load,3,19589,ES,final_noop,no-op decision; no parameter change to apply
260,low_load,3,19592,ES,final_noop,no-op decision; no parameter change to apply
263,low_load,3,19601,ES,final_noop,no-op decision; no parameter change to apply
265,outage_sector,3,19665,ES,final_noop,no-op decision; no parameter change to apply
266,outage_sector,3,19667,ES,final_noop,no-op decision; no parameter change to apply
267,overload,3,19670,ES,final_noop,no-op decision; no parameter change to apply
268,degraded_sector,4,19672,ES,final_noop,no-op decision; no parameter change to apply
269,degraded_sector,4,19675,ES,final_noop,no-op decision; no parameter change to apply
271,outage_sector,5,19939,ES,final_noop,no-op decision; no parameter change to apply
272,outage_sector,5,19941,ES,final_noop,no-op decision; no parameter change to apply
274,low_load,8,20200,ES,final_noop,no-op decision; no parameter change to apply
275,low_load,8,20202,ES,final_noop,no-op decision; no parameter change to apply
276,low_load,8,20205,ES,final_noop,no-op decision; no parameter change to apply
278,low_load,8,20211,ES,final_noop,no-op decision; no parameter change to apply
279,low_load,8,20214,ES,final_noop,no-op decision; no parameter change to apply
282,low_load,8,20223,ES,final_noop,no-op decision; no parameter change to apply
283,low_load,8,20225,ES,final_noop,no-op decision; no parameter change to apply
284,low_load,8,20227,ES,final_noop,no-op decision; no parameter change to apply
287,low_load,8,20236,ES,final_noop,no-op decision; no parameter change to apply
289,low_load,8,20242,ES,final_noop,no-op decision; no parameter change to apply
291,normal,8,20297,ES,final_noop,no-op decision; no parameter change to apply
292,normal,8,20299,ES,final_noop,no-op decision; no parameter change to apply
293,low_load_energy_saving_candidate,9,20374,ES,final_noop,no-op decision; no parameter change to apply
295,low_load_energy_saving_candidate,9,20380,ES,final_noop,no-op decision; no parameter change to apply
297,low_load_energy_saving_candidate,9,20386,ES,final_noop,no-op decision; no parameter change to apply
298,low_load_energy_saving_candidate,9,20389,ES,final_noop,no-op decision; no parameter change to apply
299,low_load_energy_saving_candidate,9,20392,ES,final_noop,no-op decision; no parameter change to apply
301,low_load_energy_saving_candidate,9,20398,ES,final_noop,no-op decision; no parameter change to apply
303,low_load_energy_saving_candidate,9,20404,ES,final_noop,no-op decision; no parameter change to apply
304,low_load_energy_saving_candidate,9,20407,ES,final_noop,no-op decision; no parameter change to apply
305,low_load_energy_saving_candidate,9,20409,ES,final_noop,no-op decision; no parameter change to apply
306,low_load_energy_saving_candidate,9,20412,ES,final_noop,no-op decision; no parameter change to apply
308,low_load_energy_saving_candidate,9,20418,ES,final_noop,no-op decision; no parameter change to apply
311,degraded_sector,10,20441,ES,final_noop,no-op decision; no parameter change to apply
312,degraded_sector,10,20444,ES,final_noop,no-op decision; no parameter change to apply
313,mixed_conflict,11,20678,ES,rejected_safety_conflict,rejected by Phase 11A safety conflict rule
315,low_load_energy_saving_candidate,14,20987,ES,final_noop,no-op decision; no parameter change to apply
316,low_load_energy_saving_candidate,14,20990,ES,final_noop,no-op decision; no parameter change to apply
317,low_load_energy_saving_candidate,14,20993,ES,final_noop,no-op decision; no parameter change to apply
318,low_load_energy_saving_candidate,14,20996,ES,final_noop,no-op decision; no parameter change to apply
319,low_load_energy_saving_candidate,14,20999,ES,final_noop,no-op decision; no parameter change to apply
321,low_load_energy_saving_candidate,14,21005,ES,final_noop,no-op decision; no parameter change to apply
322,low_load_energy_saving_candidate,14,21007,ES,final_noop,no-op decision; no parameter change to apply
323,low_load_energy_saving_candidate,14,21010,ES,final_noop,no-op decision; no parameter change to apply
324,low_load_energy_saving_candidate,14,21012,ES,final_noop,no-op decision; no parameter change to apply
325,low_load_energy_saving_candidate,14,21015,ES,final_noop,no-op decision; no parameter change to apply
326,low_load_energy_saving_candidate,14,21018,ES,final_noop,no-op decision; no parameter change to apply
328,low_load_energy_saving_candidate,14,21024,ES,final_noop,no-op decision; no parameter change to apply
329,low_load_energy_saving_candidate,14,21027,ES,final_noop,no-op decision; no parameter change to apply
332,low_load_energy_saving_candidate,14,21036,ES,final_noop,no-op decision; no parameter change to apply
333,handover_stress,15,21053,ES,final_noop,no-op decision; no parameter change to apply
334,handover_stress,15,21056,ES,final_noop,no-op decision; no parameter change to apply
335,low_load_energy_saving_candidate,15,21118,ES,final_noop,no-op decision; no parameter change to apply
336,low_load_energy_saving_candidate,15,21121,ES,final_noop,no-op decision; no parameter change to apply
337,low_load_energy_saving_candidate,15,21124,ES,final_noop,no-op decision; no parameter change to apply
