oracle_group_id,module_name,scenario_name,realization_id,source_sector_id,selected_action_id_raw,selected_action_id_safe,oracle_action_id,raw_predicted_reward,safe_predicted_reward,raw_true_reward,safe_true_reward,oracle_reward,raw_selected_safety_valid,safe_selected_safety_valid,safety_filter_changed_action,fallback_used,noop_selected,selection_reason,raw_regret,safety_enforced_regret,raw_top1_oracle_match,safe_top1_oracle_match,safe_top2_oracle_match
149,LB/MLB,mixed_conflict,3,11,10052,10052,10052,-0.000272303328086349,-0.000272303328086349,0,0,0,1,1,0,0,1,safe_best_predicted,0,0,1,1,1
150,LB/MLB,mixed_conflict,3,12,10068,10068,10068,0.100880155115219,0.100880155115219,0.0928114796445559,0.0928114796445559,0.0928114796445559,1,1,0,0,0,safe_best_predicted,0,0,1,1,1
151,LB/MLB,mixed_conflict,3,13,10089,10089,10089,0.245236430681993,0.245236430681993,0.24652193582895,0.24652193582895,0.24652193582895,1,1,0,0,0,safe_best_predicted,0,0,1,1,1
152,LB/MLB,mixed_conflict,3,14,10102,10102,10102,0.0219405848238794,0.0219405848238794,0.0278065049344035,0.0278065049344035,0.0278065049344035,1,1,0,0,0,safe_best_predicted,0,0,1,1,1
153,LB/MLB,mixed_conflict,3,16,10111,10111,10111,0.261235842424934,0.261235842424934,0.26125,0.26125,0.26125,1,1,0,0,0,safe_best_predicted,0,0,1,1,1
154,LB/MLB,mixed_conflict,3,19,10117,10117,10117,-0.0760510587951398,-0.0760510587951398,0,0,0,0,0,0,1,1,no_safe_action_fallback_noop,0,0,1,1,1
155,LB/MLB,mixed_conflict,3,20,10133,10133,10133,0.260003955461902,0.260003955461902,0.26125,0.26125,0.26125,1,1,0,0,0,safe_best_predicted,0,0,1,1,1
156,LB/MLB,mixed_conflict,3,21,10143,10143,10143,-0.0806027829413368,-0.0806027829413368,0,0,0,0,0,0,1,1,no_safe_action_fallback_noop,0,0,1,1,1
157,LB/MLB,normal,3,3,10160,10160,10160,0.0440438251545348,0.0440438251545348,0.06625,0.06625,0.06625,1,1,0,0,0,safe_best_predicted,0,0,1,1,1
176,LB/MLB,degraded_sector,4,6,10403,10403,10403,0.000131484535718029,0.000131484535718029,0,0,0,1,1,0,0,1,safe_best_predicted,0,0,1,1,1
177,LB/MLB,degraded_sector,4,12,10419,10419,10419,-0.0322816355258132,-0.0322816355258132,-0.0238668566292451,-0.0238668566292451,-0.0238668566292451,1,1,0,0,0,safe_best_predicted,0,0,1,1,1
178,LB/MLB,degraded_sector,4,13,10433,10433,10433,0.0446840734726397,0.0446840734726397,0.05540156711438,0.05540156711438,0.05540156711438,1,1,0,0,0,safe_best_predicted,0,0,1,1,1
179,LB/MLB,degraded_sector,4,17,10442,10442,10442,0.00100718547640093,0.00100718547640093,0,0,0,1,1,0,0,1,safe_best_predicted,0,0,1,1,1
180,LB/MLB,handover_stress,4,2,10455,10455,10455,7.60948191742348e-05,7.60948191742348e-05,0,0,0,1,1,0,0,1,safe_best_predicted,0,0,1,1,1
181,LB/MLB,handover_stress,4,16,10471,10471,10471,0.0665464855093544,0.0665464855093544,0.0697161126571549,0.0697161126571549,0.0697161126571549,1,1,0,0,0,safe_best_predicted,0,0,1,1,1
217,LB/MLB,handover_stress,5,3,10939,10939,10939,0.108468570694168,0.108468570694168,0.111482705411398,0.111482705411398,0.111482705411398,1,1,0,0,0,safe_best_predicted,0,0,1,1,1
218,LB/MLB,handover_stress,5,4,10952,10952,10952,-0.0348517342895966,-0.0348517342895966,-0.0310552605818644,-0.0310552605818644,-0.0310552605818644,1,1,0,0,0,safe_best_predicted,0,0,1,1,1
219,LB/MLB,handover_stress,5,20,10962,10962,10962,0.000934238454332408,0.000934238454332408,0,0,0,1,1,0,0,1,safe_best_predicted,0,0,1,1,1
237,LB/MLB,outage_sector,5,1,11199,11199,11199,0.260529141023396,0.260529141023396,0.26125,0.26125,0.26125,1,1,0,0,0,safe_best_predicted,0,0,1,1,1
256,LB/MLB,degraded_sector,6,2,11446,11446,11446,-0.0329060295520869,-0.0329060295520869,-0.0300447383259831,-0.0300447383259831,-0.0300447383259831,1,1,0,0,0,safe_best_predicted,0,0,1,1,1
257,LB/MLB,degraded_sector,6,16,11456,11456,11456,-0.00226968569545328,-0.00226968569545328,0,0,0,1,1,0,0,1,safe_best_predicted,0,0,1,1,1
258,LB/MLB,degraded_sector,6,20,11469,11469,11469,-0.00100350013783699,-0.00100350013783699,0,0,0,1,1,0,0,1,safe_best_predicted,0,0,1,1,1
278,LB/MLB,outage_sector,6,9,11740,11740,11732,-0.0238976073517868,-0.0238976073517868,-0.0229697407911832,-0.0229697407911832,-0.0229697407911832,1,1,0,0,0,safe_best_predicted,0,0,0,0,0
279,LB/MLB,outage_sector,6,18,11742,11742,11742,0.000800607972688259,0.000800607972688259,0,0,0,1,1,0,0,1,safe_best_predicted,0,0,1,1,1
