coordinator_group_id,scenario_name,realization_id,module_name,accepted_action_id,accepted_action_type,decision_source_sector_id,decision_target_sector_id,source_sector_id,target_sector_id,coordinator_affected_sector_id,application_affected_sector_id,application_state_variable,affected_parameter,accepted_flag,rejected_flag,rejection_reason,module_priority,final_candidate_rank,not_applied_flag,rejection_type
19,mixed_conflict,3,LB/MLB,10117,no_op,19,0,19,0,0,0,none,none,1,0,,3,11,1,
19,mixed_conflict,3,LB/MLB,10133,cio_bias_to_neighbor,20,3,20,3,20,3,sectors.cio_dB,CIO_bias,0,1,Both actions write the same simulator state variable on the same application sector.,3,0,1,duplicate_application_target_parameter
19,mixed_conflict,3,LB/MLB,10143,no_op,21,0,21,0,0,0,none,none,1,0,,3,12,1,
20,normal,3,LB/MLB,10160,cio_bias_to_neighbor,3,16,3,16,3,16,sectors.cio_dB,CIO_bias,1,0,,3,1,1,
21,degraded_sector,4,LB/MLB,10403,no_op,6,0,6,0,0,0,none,none,1,0,,3,1,1,
21,degraded_sector,4,LB/MLB,10419,cio_bias_to_neighbor,12,2,12,2,12,2,sectors.cio_dB,CIO_bias,0,1,Both actions write the same simulator state variable on the same application sector.,3,0,1,duplicate_application_target_parameter
21,degraded_sector,4,LB/MLB,10433,cio_bias_to_neighbor,13,2,13,2,13,2,sectors.cio_dB,CIO_bias,1,0,,3,2,1,
21,degraded_sector,4,LB/MLB,10442,no_op,17,0,17,0,0,0,none,none,1,0,,3,3,1,
22,handover_stress,4,LB/MLB,10455,no_op,2,0,2,0,0,0,none,none,1,0,,3,1,1,
22,handover_stress,4,LB/MLB,10471,cio_bias_to_neighbor,16,20,16,20,16,20,sectors.cio_dB,CIO_bias,1,0,,3,2,1,
23,handover_stress,5,LB/MLB,10939,cio_bias_to_neighbor,3,16,3,16,3,16,sectors.cio_dB,CIO_bias,1,0,,3,1,1,
23,handover_stress,5,LB/MLB,10952,cio_bias_to_neighbor,4,5,4,5,4,5,sectors.cio_dB,CIO_bias,1,0,,3,2,1,
23,handover_stress,5,LB/MLB,10962,no_op,20,0,20,0,0,0,none,none,1,0,,3,3,1,
24,outage_sector,5,LB/MLB,11199,cio_bias_to_neighbor,1,5,1,5,1,5,sectors.cio_dB,CIO_bias,1,0,,3,1,1,
25,degraded_sector,6,LB/MLB,11446,cio_bias_to_neighbor,2,12,2,12,2,12,sectors.cio_dB,CIO_bias,1,0,,3,1,1,
25,degraded_sector,6,LB/MLB,11456,no_op,16,0,16,0,0,0,none,none,1,0,,3,2,1,
25,degraded_sector,6,LB/MLB,11469,no_op,20,0,20,0,0,0,none,none,1,0,,3,3,1,
26,outage_sector,6,LB/MLB,11740,cio_bias_to_neighbor,9,5,9,5,9,5,sectors.cio_dB,CIO_bias,1,0,,3,1,1,
26,outage_sector,6,LB/MLB,11742,no_op,18,0,18,0,0,0,none,none,1,0,,3,2,1,
27,mixed_conflict,8,LB/MLB,12509,no_op,1,0,1,0,0,0,none,none,1,0,,3,1,1,
27,mixed_conflict,8,LB/MLB,12522,no_op,2,0,2,0,0,0,none,none,1,0,,3,2,1,
27,mixed_conflict,8,LB/MLB,12537,cio_bias_to_neighbor,3,16,3,16,3,16,sectors.cio_dB,CIO_bias,1,0,,3,3,1,
27,mixed_conflict,8,LB/MLB,12548,no_op,4,0,4,0,0,0,none,none,1,0,,3,4,1,
