split,scenario_name,metric_name,metric_value,module_name,model_name
train,outage_sector,within_0p01,1,COC/OH,LSBoost
train,outage_sector,within_0p05,1,COC/OH,LSBoost
train,outage_sector,within_0p10,1,COC/OH,LSBoost
test,ALL,MAE,0.00189629630144982,COC/OH,LSBoost
test,ALL,RMSE,0.00314067210786677,COC/OH,LSBoost
test,ALL,R2,0.997034641540695,COC/OH,LSBoost
test,ALL,mean_error,-0.000553636652771251,COC/OH,LSBoost
test,ALL,median_absolute_error,0.000553345136720551,COC/OH,LSBoost
test,ALL,pearson_r,0.998563580397408,COC/OH,LSBoost
test,ALL,spearman_rho,0.994733013529957,COC/OH,LSBoost
test,ALL,within_0p01,0.994366197183099,COC/OH,LSBoost
test,ALL,within_0p05,1,COC/OH,LSBoost
test,ALL,within_0p10,1,COC/OH,LSBoost
test,degraded_sector,MAE,0.00251867276346015,COC/OH,LSBoost
test,degraded_sector,RMSE,0.00372823886976941,COC/OH,LSBoost
test,degraded_sector,R2,0.954272929573878,COC/OH,LSBoost
test,degraded_sector,mean_error,-0.00160757554560969,COC/OH,LSBoost
test,degraded_sector,median_absolute_error,0.00111108318937839,COC/OH,LSBoost
test,degraded_sector,pearson_r,0.983541140030383,COC/OH,LSBoost
test,degraded_sector,spearman_rho,0.961183776474055,COC/OH,LSBoost
test,degraded_sector,within_0p01,0.994366197183099,COC/OH,LSBoost
test,degraded_sector,within_0p05,1,COC/OH,LSBoost
test,degraded_sector,within_0p10,1,COC/OH,LSBoost
test,mixed_conflict,MAE,0.00275085837619466,COC/OH,LSBoost
test,mixed_conflict,RMSE,0.0037693856245478,COC/OH,LSBoost
test,mixed_conflict,R2,0.982919466687807,COC/OH,LSBoost
test,mixed_conflict,mean_error,-0.000333441489789229,COC/OH,LSBoost
test,mixed_conflict,median_absolute_error,0.00188796311098221,COC/OH,LSBoost
test,mixed_conflict,pearson_r,0.991932428803328,COC/OH,LSBoost
test,mixed_conflict,spearman_rho,0.992231525034444,COC/OH,LSBoost
test,mixed_conflict,within_0p01,0.988732394366197,COC/OH,LSBoost
test,mixed_conflict,within_0p05,1,COC/OH,LSBoost
test,mixed_conflict,within_0p10,1,COC/OH,LSBoost
test,outage_sector,MAE,0.000419357764694639,COC/OH,LSBoost
test,outage_sector,RMSE,0.00121796174438682,COC/OH,LSBoost
test,outage_sector,R2,0.999157692763946,COC/OH,LSBoost
test,outage_sector,mean_error,0.000280107077085166,COC/OH,LSBoost
test,outage_sector,median_absolute_error,0.00011435575478972,COC/OH,LSBoost
test,outage_sector,pearson_r,0.999622476564393,COC/OH,LSBoost
test,outage_sector,spearman_rho,0.999603515044742,COC/OH,LSBoost
test,outage_sector,within_0p01,1,COC/OH,LSBoost
test,outage_sector,within_0p05,1,COC/OH,LSBoost
test,outage_sector,within_0p10,1,COC/OH,LSBoost
test,ALL,top1_oracle_match,0.866666666666667,COC/OH,LSBoost
test,ALL,top2_oracle_match,0.866666666666667,COC/OH,LSBoost
test,ALL,mean_oracle_regret,0.000526666666666668,COC/OH,LSBoost
test,ALL,median_oracle_regret,0,COC/OH,LSBoost
test,ALL,max_oracle_regret,0.00395000000000002,COC/OH,LSBoost
test,ALL,regret_le_0p01,1,COC/OH,LSBoost
test,ALL,regret_le_0p05,1,COC/OH,LSBoost
test_safe,ALL,MAE,0.00167300936954477,COC/OH,LSBoost
test_safe,ALL,RMSE,0.0030180279914688,COC/OH,LSBoost
test_safe,ALL,R2,0.99671151466333,COC/OH,LSBoost
test_safe,ALL,mean_error,-0.00107017278129931,COC/OH,LSBoost
test_safe,ALL,median_absolute_error,0.000313751456232553,COC/OH,LSBoost
test_safe,ALL,pearson_r,0.99866218196838,COC/OH,LSBoost
test_safe,ALL,spearman_rho,0.990292552245059,COC/OH,LSBoost
test_safe,ALL,within_0p01,0.992541951522685,COC/OH,LSBoost
test_safe,ALL,within_0p05,1,COC/OH,LSBoost
test_safe,ALL,within_0p10,1,COC/OH,LSBoost
test_unsafe,ALL,MAE,0.00258587149038498,COC/OH,LSBoost
test_unsafe,ALL,RMSE,0.00349234814163299,COC/OH,LSBoost
test_unsafe,ALL,R2,0.991430417289938,COC/OH,LSBoost
test_unsafe,ALL,mean_error,0.00104157760980388,COC/OH,LSBoost
test_unsafe,ALL,median_absolute_error,0.00173158901892554,COC/OH,LSBoost
test_unsafe,ALL,pearson_r,0.996096015519617,COC/OH,LSBoost
