oracle_group_id,scenario_name,realization_id,source_sector_id,module_name,selected_action_id,selected_action_type,target_sector_id,reward,safety_valid,oracle_selection_reason,is_noop,delta_prs_dB,delta_tilt_deg,delta_cio_dB,delta_hom_dB,delta_ttt_ms,es_action,pre_source_load_ratio,post_source_load_ratio,pre_source_RSRP_dBm,post_source_RSRP_dBm,pre_source_SINR_dB,post_source_SINR_dB,pre_source_qos_satisfaction_ratio,post_source_qos_satisfaction_ratio,pre_source_attach_rate,post_source_attach_rate,pre_source_handover_risk_score,post_source_handover_risk_score
312,mixed_conflict,7,18,LB/MLB,12171,no_op,0,0,0,no_safe_action_available,1,0,0,0,0,0,,1.14196091655616,1.14196091655616,-90.618109470813,-90.618109470813,9.30187546457605,9.30187546457605,1,1,1,1,0.130434782608696,0.130434782608696
313,mixed_conflict,7,19,LB/MLB,12184,no_op,0,0,0,no_safe_action_available,1,0,0,0,0,0,,1.51973474652673,1.51973474652673,-87.4145061628582,-87.4145061628582,8.68142953215968,8.68142953215968,0,0,0.964285714285714,0.964285714285714,0.148148148148148,0.148148148148148
314,mixed_conflict,7,20,LB/MLB,12197,no_op,0,0,0,no_safe_action_available,1,0,0,0,0,0,,0.931880834886702,0.931880834886702,-87.6182687120449,-87.6182687120449,7.11604927013614,7.11604927013614,1,1,1,1,0.214285714285714,0.214285714285714
315,mixed_conflict,7,21,LB/MLB,12210,no_op,0,0,0,no_safe_action_available,1,0,0,0,0,0,,1.17778959435868,1.17778959435868,-88.4864657428179,-88.4864657428179,11.3990831320924,11.3990831320924,1,1,1,1,0.0740740740740741,0.0740740740740741
316,normal,7,5,LB/MLB,12223,no_op,0,0,1,safe_best_reward,1,0,0,0,0,0,,0.819305312945005,0.819305312945005,-86.3127127039459,-86.3127127039459,6.95043820903385,6.95043820903385,1,1,1,1,0.3,0.3
317,outage_sector,7,12,LB/MLB,12236,no_op,0,0,1,safe_best_reward,1,0,0,0,0,0,,0.876434281277754,0.876434281277754,-88.0719165854971,-88.0719165854971,6.13477307796815,6.13477307796815,1,1,1,1,0.32,0.32
318,overload,7,1,LB/MLB,12249,no_op,0,0,0,no_safe_action_available,1,0,0,0,0,0,,1.88487329000076,1.88487329000076,-88.0771679205122,-88.0771679205122,4.35319343129971,4.35319343129971,0,0,0.958333333333333,0.958333333333333,0.347826086956522,0.347826086956522
319,overload,7,2,LB/MLB,12262,no_op,0,0,1,safe_best_reward,1,0,0,0,0,0,,0.838172569874413,0.838172569874413,-86.6901137427384,-86.6901137427384,7.26302303786303,7.26302303786303,1,1,1,1,0.222222222222222,0.222222222222222
320,overload,7,3,LB/MLB,12285,cio_bias_to_neighbor,2,-0.1338,1,safe_best_reward,0,0,0,-3,0,0,,1.24878321984663,1.26378321984663,-85.3550063672272,-85.3550063672272,7.60639814538905,7.60639814538905,1,0.9985,0.952380952380952,0.952380952380952,0.15,0.15
321,overload,7,5,LB/MLB,12298,cio_bias_to_neighbor,4,-0.1275,1,safe_best_reward,0,0,0,-3,0,0,,1.85843434434977,1.87343434434977,-87.157754168811,-87.157754168811,7.33522771906893,7.33522771906893,0,0,1,1,0.130434782608696,0.130434782608696
322,overload,7,7,LB/MLB,12301,no_op,0,0,0,no_safe_action_available,1,0,0,0,0,0,,1.65756824285669,1.65756824285669,-89.5486970059896,-89.5486970059896,9.26704170456208,9.26704170456208,0,0,1,1,0.206896551724138,0.206896551724138
323,overload,7,8,LB/MLB,12314,no_op,0,0,0,no_safe_action_available,1,0,0,0,0,0,,0.91933753214403,0.91933753214403,-85.916440327026,-85.916440327026,12.0021366487715,12.0021366487715,1,1,1,1,0,0
324,overload,7,9,LB/MLB,12327,no_op,0,0,0,no_safe_action_available,1,0,0,0,0,0,,3.0814203413003,3.0814203413003,-91.305079651255,-91.305079651255,3.05924912793473,3.05924912793473,0,0,0.96,0.96,0.333333333333333,0.333333333333333
325,overload,7,10,LB/MLB,12340,no_op,0,0,0,no_safe_action_available,1,0,0,0,0,0,,1.8030665501446,1.8030665501446,-86.3904103967627,-86.3904103967627,11.5205051527309,11.5205051527309,0,0,1,1,0.0487804878048781,0.0487804878048781
326,overload,7,11,LB/MLB,12363,cio_bias_to_neighbor,2,-0.1275,1,safe_best_reward,0,0,0,-3,0,0,,1.58609209635974,1.60109209635974,-89.6808532243627,-89.6808532243627,10.2741443373287,10.2741443373287,0,0,1,1,0.206896551724138,0.206896551724138
327,overload,7,13,LB/MLB,12368,cio_bias_to_neighbor,2,-0.1275,1,safe_best_reward,0,0,0,-3,0,0,,1.60486822081258,1.61986822081258,-88.6739029967129,-88.6739029967129,4.66418246310334,4.66418246310334,0,0,0.961538461538462,0.961538461538462,0.36,0.36
328,overload,7,14,LB/MLB,12389,cio_bias_to_neighbor,2,-0.1338,1,safe_best_reward,0,0,0,-3,0,0,,1.16747095207904,1.18247095207904,-88.4949604872774,-88.4949604872774,10.9726556657457,10.9726556657457,1,0.9985,1,1,0.08,0.08
329,overload,7,15,LB/MLB,12392,no_op,0,0,0,no_safe_action_available,1,0,0,0,0,0,,1.34143655220382,1.34143655220382,-89.7189114831794,-89.7189114831794,8.95178321924405,8.95178321924405,0,0,1,1,0.181818181818182,0.181818181818182
