num_sites,num_sectors,num_ues,attached_ues,unattached_ues,attach_rate,active_ues,active_attached_ues,active_attach_rate,coverage_ratio,sinr_threshold_ratio,total_offered_traffic_Mbps,total_served_traffic_Mbps,total_unserved_traffic_Mbps,mean_ue_throughput_Mbps,median_ue_throughput_Mbps,qos_satisfied_ues,qos_satisfaction_ratio,overloaded_sector_count,mean_sector_load,max_sector_load,jain_fairness_index,scenario_name,realization_id,phase_tag
7,21,500,490,10,0.98,150,147,0.98,0.98,0.992,1157.27985614701,829.637448512486,327.642407634527,1.65927489702497,0,58,0.386666666666667,19,1.33468412657673,2.3188667532309,0.252467447584047,overload,13,pre
7,21,500,486,14,0.972,150,147,0.98,0.972,0.984,1157.27985614701,833.637272059824,323.642584087189,1.66727454411965,0,58,0.386666666666667,19,1.32817222441246,2.3188667532309,0.252908218992536,overload,13,post
7,21,500,491,9,0.982,75,75,1,0.982,0.984,349.175975446279,339.027403054978,10.1485723913013,0.678054806109956,0,68,0.906666666666667,2,0.406203495624655,1.2887358976316,0.128700151339333,normal,14,pre
7,21,500,488,12,0.976,75,74,0.986666666666667,0.976,0.978,349.175975446279,344.014829371534,5.1611460747453,0.688029658743068,0,74,0.986666666666667,2,0.398670883629433,1.03315952404816,0.12654672782829,normal,14,post
7,21,500,481,19,0.962,150,144,0.96,0.962,0.972,1156.04452247056,834.146234666188,321.898287804369,1.66829246933238,0,69,0.46,18,1.27651064598913,2.88901217192044,0.244093235498956,overload,14,pre
7,21,500,474,26,0.948,150,141,0.94,0.948,0.958,1156.04452247056,871.208377173218,284.836145297339,1.74241675434644,0,87,0.58,19,1.20960248271096,2.81124124370556,0.241053904911227,overload,14,post
7,21,500,481,19,0.962,150,148,0.986666666666667,0.962,0.972,1134.75727308622,805.930809993019,328.826463093197,1.61186161998604,0,65,0.433333333333333,15,1.24056611885566,2.76921139715996,0.252236581211939,overload,15,pre
7,21,500,476,24,0.952,150,148,0.986666666666667,0.952,0.96,1134.75727308622,817.179505154893,317.577767931323,1.63435901030979,0,65,0.433333333333333,16,1.24180417789826,3.08921980137193,0.251182291919594,overload,15,post
7,21,500,475,25,0.95,75,70,0.933333333333333,0.95,0.954,331.855941930596,317.29313269786,14.5628092327362,0.634586265395719,0,70,0.933333333333333,2,0.416373747769228,0.906382023507643,0.116240274700413,handover_stress,16,pre
7,21,500,472,28,0.944,75,69,0.92,0.944,0.948,331.855941930596,314.677535907359,17.1784060232365,0.629355071814718,0,69,0.92,1,0.41173963142456,0.817462009165562,0.114785075706901,handover_stress,16,post
7,21,500,469,31,0.938,75,70,0.933333333333333,0.938,0.954,343.559868770604,318.237122926308,25.3227458442953,0.636474245852617,0,70,0.933333333333333,1,0.429611077913115,1.22610131534066,0.116121911024667,handover_stress,17,pre
7,21,500,469,31,0.938,75,70,0.933333333333333,0.938,0.954,343.559868770604,318.237122926308,25.3227458442953,0.636474245852617,0,70,0.933333333333333,1,0.429888699408966,1.22610131534066,0.116121911024667,handover_stress,17,post
7,21,500,488,12,0.976,150,147,0.98,0.976,0.988,1134.1398227819,799.673329255867,334.46649352603,1.59934665851173,0,57,0.38,14,1.23741145345519,3.07198797852178,0.245654339627489,mixed_conflict,19,pre
7,21,500,476,24,0.952,150,142,0.946666666666667,0.952,0.964,1134.1398227819,786.126532828543,348.013289953355,1.57225306565709,0,68,0.453333333333333,13,1.1612784867595,2.94067766986423,0.237479341275735,mixed_conflict,19,post
